,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.886316827002992,102298.07978723403,282.27378553025267,97279.8444148936,278.7921168550532,0.8922343152634641,86.0,64.0,65.0,2.0,56.0,29.0,0.99
Tianjin,1.844218860973012,102319.70454545454,283.4407921993371,102014.3428030303,278.9068122632576,1.3310634728633997,91.0,68.0,94.0,11.0,56.0,57.0,1.04
Shijiazhuang,-0.5218268500434028,102344.65972222222,282.5552029079861,98379.36805555556,279.7746310763889,1.3413543701171875,68.0,49.0,78.0,7.0,39.0,60.0,0.61
Tangshan,2.3241204155815973,102296.75694444444,283.34632703993054,101047.78472222222,277.00428602430554,1.1518469916449652,100.0,75.0,116.0,9.0,78.0,21.0,1.33
Langfang,1.198187255859375,102318.0,283.374365234375,102108.4625,279.52119140625,1.6981414794921874,96.0,72.0,100.0,6.0,51.0,56.0,0.95
Baoding,0.9038250262920672,102332.37019230767,282.1899601862981,97743.27403846152,279.3749248798077,1.0420379638671875,69.0,50.0,77.0,9.0,41.0,66.0,0.63
Cangzhou,0.844061279296875,102364.15625,282.945849609375,102245.1875,277.966845703125,2.110446166992188,59.0,24.0,67.0,15.0,47.0,47.0,0.77
Hengshui,0.0799662272135416,102374.70833333331,282.8343098958333,102091.35416666669,278.3324381510417,2.255009969075521,49.0,21.0,49.0,7.0,34.0,56.0,0.57
Xingtai,-0.7407716693300189,102383.61363636365,282.68215110085225,99828.00946969698,279.34224076704544,1.9117334539240056,82.0,58.0,113.0,11.0,50.0,49.0,1.02
Handan,-1.403607598666487,102383.7327586207,282.97165443157326,99126.20905172414,279.6292093211207,1.4058495883283944,79.0,56.0,108.0,12.0,30.0,72.0,0.88
Taiyuan,0.1978773034137228,102315.19565217392,281.14583687160325,88364.18206521739,274.45087466032606,-0.0744171142578125,108.0,81.0,114.0,13.0,78.0,37.0,1.13
Yangquan,-0.3039332798549107,102318.125,281.4788992745536,91089.09821428572,276.99693080357144,0.353177751813616,51.0,36.0,44.0,10.0,52.0,50.0,1.03
Changzhi,-0.4238691057477678,102320.67142857144,282.15149972098214,89929.7125,276.8208426339286,-0.0723802839006696,91.0,68.0,94.0,16.0,60.0,83.0,1.54
Jincheng,0.1839931322180706,102341.81521739133,283.30624787703806,91879.57336956522,279.26982846467394,1.0018396792204485,140.0,107.0,191.0,21.0,49.0,79.0,1.77
Jinan,-0.7601072249873992,102420.54838709676,283.4312232232863,100661.3125,276.5460244455645,-0.2336598057900705,68.0,38.0,86.0,16.0,72.0,39.0,1.29
Zibo,-0.5285194033668155,102433.03571428572,283.0792526971726,100251.16964285714,275.8304036458333,-0.7539651053292411,72.0,52.0,93.0,19.0,74.0,38.0,0.78
Jining,-0.164154052734375,102408.0859375,283.48419189453125,101479.90625,278.47369384765625,-1.4071197509765625,55.0,28.0,59.0,9.0,46.0,62.0,0.7
Dezhou,-0.5883812537560096,102403.4903846154,283.4786095252404,102081.54326923077,276.76119290865387,1.529924832857572,52.0,23.0,53.0,9.0,32.0,72.0,0.47
Liaocheng,-1.3685336642795138,102402.48148148147,283.8441749855324,101914.7199074074,277.2574146412037,0.7208302815755209,50.0,26.0,50.0,7.0,45.0,53.0,0.47
Binzhou,0.256683349609375,102413.85185185184,284.450511791088,102168.86805555556,276.92907262731484,0.8240927237051504,57.0,32.0,64.0,16.0,64.0,37.0,1.33
Heze,-0.9870133833451704,102402.66666666669,284.65693803267044,101799.03977272728,279.4861209753788,-1.0937708074396306,54.0,24.0,58.0,8.0,30.0,75.0,0.63
Zhengzhou,-0.6420389811197916,102358.59375,285.6786295572917,100085.64583333331,281.5994466145833,0.6838429768880209,78.0,57.0,85.0,7.0,60.0,66.0,1.32
Kaifeng,-1.0535845075334822,102387.54761904762,285.75205775669644,101575.93154761904,281.35235305059524,-0.4110986618768601,73.0,52.0,95.0,6.0,35.0,79.0,0.93
Anyang,-0.9744222889775817,102381.6304347826,284.0186289911685,100006.39945652174,280.64890455163044,1.4609938911769702,93.0,69.0,64.0,10.0,33.0,80.0,1.13
Hebi,-0.7139112684461806,102380.08333333331,284.5025227864583,100443.53472222222,281.2340494791667,1.7066158718532989,143.0,109.0,134.0,5.0,56.0,33.0,0.97
Xinxiang,-0.8251259543678977,102379.80681818182,285.46712979403407,100002.72159090907,281.27121803977275,0.9909237948330966,131.0,100.0,154.0,14.0,68.0,26.0,1.3
Jiaozuo,1.144964599609375,102359.91666666669,284.89991861979166,98789.17916666668,281.47389322916666,0.8380828857421875,124.0,94.0,159.0,11.0,51.0,22.0,1.17
Puyang,-1.4368387858072915,102395.80555555556,284.30992296006946,101793.8125,278.8806423611111,0.3886905246310764,53.0,28.0,55.0,10.0,55.0,43.0,0.9
