,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,2.7034253059549536,100062.1369680851,290.8897263547207,95197.53324468085,267.0620523006358,1.3292879145196144,84.0,62.0,101.0,5.0,53.0,43.0,0.68
Tianjin,4.120037194454309,100144.52462121211,293.3314763849432,99848.9678030303,271.3390535296816,2.4759567723129736,79.0,58.0,91.0,14.0,34.0,78.0,0.79
Shijiazhuang,5.993209838867188,100389.27083333331,296.1972927517361,96536.54861111112,263.87713453504773,1.0616895887586806,60.0,12.0,69.0,21.0,17.0,93.0,0.36
Tangshan,3.1822018093532987,100132.45833333331,289.54310438368054,98922.38194444444,272.9800533718533,2.6334398057725696,84.0,54.0,118.0,18.0,44.0,70.0,0.95
Langfang,4.100192260742188,100147.4125,295.193408203125,99944.4875,269.9395477294922,2.420147705078125,66.0,40.0,82.0,10.0,40.0,62.0,0.57
Baoding,4.698118943434495,100227.84615384616,294.5219538762019,95769.51442307692,265.3023482102614,1.833094670222356,66.0,14.0,81.0,15.0,19.0,84.0,0.45
Cangzhou,5.437057495117188,100301.33125,296.358154296875,100186.5125,268.4011199951172,4.112506103515625,64.0,28.0,78.0,20.0,21.0,97.0,0.83
Hengshui,5.074427286783855,100408.84375,298.260986328125,100135.60416666669,266.5079396565755,3.303497314453125,58.0,20.0,65.0,14.0,16.0,113.0,1.03
Xingtai,5.01764609596946,100525.65340909093,297.4519190932765,98048.08901515152,265.5595199122573,1.6781643954190342,46.0,11.0,46.0,27.0,17.0,107.0,1.17
Handan,5.126923133587015,100647.35560344828,297.04883654364227,97482.62715517242,265.480539782294,1.4812906199488147,59.0,16.0,68.0,13.0,14.0,112.0,0.47
Taiyuan,6.842999665633492,100814.79076086955,288.4161323879076,87097.11141304347,258.72908152704656,0.4157276982846467,85.0,46.0,119.0,38.0,41.0,74.0,0.75
Yangquan,7.6501922607421875,100553.40178571428,290.9899204799107,89578.9375,260.4783172607422,0.7391488211495536,62.0,19.0,73.0,25.0,18.0,95.0,0.6
Changzhi,6.693746948242188,100930.23392857144,289.973486328125,88774.59464285715,259.97641993931364,-0.720184326171875,64.0,36.0,77.0,9.0,13.0,115.0,0.46
Jincheng,6.170275480850883,101050.88858695651,291.3139754585598,90799.72010869563,261.2577839726987,-0.8366500191066576,52.0,19.0,54.0,10.0,18.0,105.0,0.68
Jinan,3.4082252748550905,100692.39314516127,294.44691122731854,98984.00201612904,273.90718570832286,4.907556349231351,81.0,44.0,111.0,17.0,22.0,121.0,0.71
Zibo,4.49222165062314,100665.36011904762,295.0778576078869,98551.9375,273.1559586297898,5.03906976609003,99.0,54.0,148.0,24.0,22.0,127.0,0.78
Jining,3.095077514648437,100906.1640625,294.627685546875,100000.5,276.69053649902344,4.274749755859375,69.0,44.0,88.0,17.0,23.0,99.0,0.65
Dezhou,4.043709388146033,100527.91826923077,296.17715219350964,100216.20673076923,271.70232567420373,4.673257681039663,87.0,40.0,124.0,22.0,23.0,90.0,0.73
Liaocheng,3.4129599112051503,100669.59027777778,296.8832374855324,100196.82638888888,271.5800967746311,3.984966136791088,92.0,64.0,133.0,30.0,30.0,87.0,0.67
Binzhou,5.481174610279225,100465.13657407407,295.8897479021991,100228.56712962964,271.6073681866681,5.0068845395688655,111.0,42.0,172.0,16.0,21.0,105.0,0.83
Heze,4.172594012636127,100906.26704545454,296.32307202888256,100318.30113636365,274.3046075069543,3.938433098070549,89.0,29.0,127.0,13.0,19.0,95.0,0.43
Zhengzhou,5.217249552408855,101042.375,296.4549153645833,98822.5625,268.7223765055339,1.2353006998697915,75.0,20.0,100.0,7.0,13.0,130.0,0.39
Kaifeng,4.734548659551711,100993.52678571428,296.9386276971726,100202.65178571428,272.77342514764695,2.9315083821614585,70.0,28.0,89.0,12.0,30.0,88.0,0.43
Anyang,4.673375005307405,100744.07336956522,297.63590140964675,98440.8070652174,266.7588879129161,2.068538499915081,85.0,24.0,120.0,13.0,39.0,68.0,0.83
Hebi,4.490687052408855,100758.34027777778,298.1513943142361,98883.49305555556,267.0073971218533,2.4642774793836804,55.0,27.0,59.0,8.0,18.0,119.0,0.3
Xinxiang,5.291483098810369,100879.99431818182,296.5757945667614,98568.07386363635,268.3801283402876,2.447074196555398,66.0,18.0,81.0,23.0,18.0,95.0,0.77
Jiaozuo,5.452926635742188,100997.5625,295.716064453125,97517.87083333332,266.7397755940755,1.2347635904947916,64.0,29.0,77.0,15.0,36.0,71.0,0.73
Puyang,3.817455715603298,100756.38194444444,297.5582953559028,100172.21527777778,270.5683780246311,3.5990431043836804,87.0,40.0,124.0,17.0,33.0,73.0,0.73
