,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.2203164607920545,102869.98537234042,269.98959675241025,97582.6409574468,256.46426813653176,-0.0205324862865691,34.0,17.0,34.0,2.0,27.0,44.0,0.43
Tianjin,-0.1280078309955019,102880.88446969698,270.4020977598248,102559.99621212122,262.1760166052616,1.527822783499053,46.0,26.0,46.0,10.0,53.0,29.0,1.01
Shijiazhuang,0.8840315077039931,102900.05555555556,271.13641357421875,98727.04166666669,261.87647332085504,0.8603990342881944,61.0,43.0,71.0,9.0,29.0,64.0,0.7
Tangshan,-0.7207862006293403,102900.79861111112,270.6006605360243,101582.26388888888,263.0221438937717,1.3700832790798612,57.0,37.0,63.0,8.0,43.0,38.0,0.84
Langfang,-0.0001861572265625,102874.7875,270.5194213867188,102654.775,260.1591339111328,0.98206787109375,31.0,19.0,31.0,4.0,52.0,31.0,0.47
Baoding,0.6954568716195914,102901.99519230767,270.2236656775841,98067.95192307692,258.92310626690204,0.0507389948918269,57.0,34.0,63.0,7.0,59.0,31.0,0.74
Cangzhou,-1.5246002197265625,102882.0875,271.76414794921874,102757.55,262.7010772705078,0.00411376953125,58.0,36.0,65.0,9.0,54.0,27.0,0.7
Hengshui,-0.4159088134765625,102882.94791666669,274.70721435546875,102586.91666666669,261.0284372965495,0.1967976888020833,64.0,46.0,53.0,15.0,26.0,75.0,0.68
Xingtai,0.3229273015802557,102920.14204545454,273.4190840287642,100236.32954545454,262.56208431359494,0.7658968838778409,66.0,45.0,81.0,7.0,39.0,55.0,0.63
Handan,0.388500871329472,102941.16163793104,274.2628952552532,99520.875,262.85392445531386,1.3804363382273708,53.0,34.0,55.0,7.0,17.0,79.0,0.53
Taiyuan,1.5040236763332202,102900.85054347826,269.5981153405231,88199.74456521739,260.3556989586872,0.1618254288383152,68.0,49.0,73.0,11.0,33.0,57.0,0.82
Yangquan,0.431852068219866,102876.24107142857,269.8106602260045,91056.08928571428,260.0512237548828,0.5882132393973214,53.0,32.0,56.0,17.0,37.0,44.0,0.92
Changzhi,1.4981885637555803,102995.0375,270.2723510742188,89901.64642857143,261.1530931745257,1.10194091796875,49.0,31.0,49.0,19.0,22.0,70.0,0.86
Jincheng,1.363186380137568,103112.64402173914,271.1939033840014,92010.17934782608,265.61376621412194,0.6904429560122283,56.0,27.0,61.0,8.0,14.0,89.0,0.46
Jinan,-0.4349596577305947,102897.63104838708,274.5443646830897,101062.6491935484,261.858147898028,0.1638990832913306,61.0,44.0,70.0,21.0,38.0,67.0,0.99
Zibo,-1.209075201125372,102882.48511904762,272.1462722051712,100605.77976190476,261.5394585019066,0.4556332542782738,71.0,45.0,91.0,23.0,49.0,48.0,1.07
Jining,0.5744781494140625,102968.0390625,274.302001953125,101994.5625,266.6802520751953,1.8826904296875,54.0,38.0,53.0,11.0,21.0,75.0,0.62
Dezhou,-0.9819958026592548,102886.61057692308,274.0096106896034,102551.02884615384,262.13047555776745,-1.1016798753004808,71.0,52.0,73.0,21.0,40.0,66.0,0.98
Liaocheng,0.2917825204354745,102923.4375,275.7169257269965,102414.83796296296,263.5553831877532,-0.0830055519386574,61.0,41.0,72.0,12.0,32.0,80.0,0.82
Binzhou,-1.9403500027126737,102879.47453703704,271.23233371310766,102624.17129629628,263.7037483497902,-0.423500343605324,69.0,50.0,72.0,19.0,42.0,57.0,0.9
Heze,0.7698674057469224,102997.30113636365,275.1510916045217,102362.99621212122,267.442055904504,1.709345037286932,69.0,50.0,79.0,10.0,27.0,81.0,0.52
Zhengzhou,1.2323659261067708,103071.95833333331,275.44289143880206,100668.54166666669,268.4577178955078,1.27789306640625,51.0,35.0,51.0,5.0,17.0,82.0,0.45
Kaifeng,0.944849650065104,103047.79464285714,275.5935378301712,102192.25595238096,268.7187739780971,1.5820748465401786,60.0,43.0,62.0,6.0,20.0,79.0,0.45
Anyang,0.96007836383322,102969.60054347826,275.6640969981318,100478.04891304349,264.46617789890456,1.693330184273098,54.0,37.0,57.0,8.0,21.0,82.0,0.47
Hebi,1.265596177842882,102982.57638888888,276.14010281032984,100952.76388888888,264.87207878960504,1.65936279296875,56.0,40.0,49.0,9.0,24.0,82.0,0.48
Xinxiang,1.5118921453302556,103028.08522727272,275.53192138671875,100523.82954545454,266.3740220503374,1.2048173384232954,56.0,38.0,61.0,11.0,19.0,85.0,0.61
Jiaozuo,1.6811777750651042,103064.30416666668,275.1830281575521,99294.40833333334,267.0300649007161,0.1883992513020833,59.0,42.0,65.0,8.0,23.0,76.0,0.65
Puyang,1.2172020806206598,102961.11805555556,276.4659491644965,102332.09722222222,265.03473069932727,1.3838636610243056,61.0,44.0,62.0,7.0,28.0,78.0,0.57
