,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.4457339023021942,103520.63031914894,270.0717202044548,98081.15425531915,256.5079394401388,-2.677781449987533,47.0,17.0,47.0,5.0,23.0,42.0,0.51
Tianjin,0.5641340775923296,103381.20075757576,273.6922422466856,103052.8106060606,260.68410098913944,-4.351488055604877,128.0,97.0,118.0,15.0,58.0,18.0,1.51
Shijiazhuang,-0.6314866807725694,103388.88888888888,271.84388563368054,99178.47222222222,268.2975006103516,-1.3413204616970489,260.0,210.0,258.0,26.0,65.0,4.0,2.82
Tangshan,-0.3099263509114583,103329.78472222222,272.657470703125,101985.36111111112,260.17960781521265,-3.733003404405382,80.0,50.0,109.0,36.0,58.0,28.0,1.88
Langfang,-0.267364501953125,103424.2625,273.958154296875,103199.2,261.38158264160154,-3.4092620849609374,65.0,46.0,80.0,13.0,52.0,16.0,0.92
Baoding,-0.1098562387319711,103451.63942307692,271.6493952824519,98543.25,264.21299039400543,-1.4445460392878606,216.0,166.0,238.0,36.0,77.0,12.0,3.03
Cangzhou,-0.301690673828125,103353.88125,274.069921875,103226.475,266.71380920410155,-3.5732025146484374,223.0,173.0,204.0,31.0,56.0,13.0,1.93
Hengshui,-1.191558837890625,103358.625,273.5984700520833,103055.0,269.67925516764325,-2.461939493815104,230.0,180.0,231.0,15.0,49.0,11.0,2.25
Xingtai,-1.0425479773319128,103297.53409090907,272.99509499289775,100603.20454545454,270.26222598913944,-2.4215046275745737,235.0,185.0,234.0,22.0,58.0,7.0,2.52
Handan,-0.6925732842807112,103202.56465517242,273.8177953259698,99776.81896551725,270.5747096620757,-2.1652932002626617,312.0,262.0,328.0,77.0,57.0,3.0,3.23
Taiyuan,1.447479248046875,103402.78804347826,270.2347889775815,88605.88043478261,264.8249292788298,-1.267010896102242,341.0,291.0,342.0,160.0,74.0,8.0,3.17
Yangquan,0.963801792689732,103304.08928571428,271.3933803013393,91432.60714285714,267.7363956996373,-1.2972782679966517,249.0,199.0,245.0,230.0,63.0,20.0,2.52
Changzhi,0.8825238909040178,103193.3607142857,272.3871303013393,90146.2357142857,267.8783041817801,-2.126714651925224,187.0,141.0,175.0,27.0,43.0,26.0,2.2
Jincheng,1.1162547235903533,103145.83152173914,273.8213209069294,92147.31521739133,268.9131595777429,-3.057941602623981,313.0,263.0,304.0,47.0,57.0,17.0,7.82
Jinan,0.070589127079133,103222.18951612904,274.6612194430444,101362.68548387096,272.1979542393838,-1.830503894436744,211.0,161.0,212.0,28.0,59.0,6.0,1.83
Zibo,0.8201075962611607,103207.91071428572,274.4950358072917,100905.60714285714,271.83805120558964,-1.899352300734747,262.0,212.0,269.0,43.0,76.0,5.0,3.75
Jining,-0.130828857421875,103136.65625,275.949951171875,102154.75,273.8806915283203,-0.8223114013671875,149.0,114.0,166.0,31.0,53.0,12.0,1.3
Dezhou,-0.4522352952223558,103283.59615384616,274.62366661658655,102941.44230769233,271.14380469689,-2.6555586594801683,197.0,148.0,190.0,17.0,44.0,9.0,2.03
Liaocheng,-0.4979779278790509,103219.9675925926,274.9106174045139,102701.3425925926,272.5923501473886,-1.86406170880353,194.0,146.0,189.0,20.0,34.0,11.0,1.75
Binzhou,1.22518468786169,103251.52314814816,274.8873969184028,102991.86111111112,270.558351304796,-3.4502523916739003,190.0,143.0,188.0,14.0,50.0,8.0,1.43
Heze,0.188305479107481,103110.3143939394,276.17282936789775,102471.29545454546,273.65024682247275,-0.5701196843927557,193.0,145.0,191.0,17.0,49.0,11.0,2.87
Zhengzhou,1.6909281412760415,103100.14583333331,276.296142578125,100696.83333333331,271.2743886311849,-0.3473154703776042,209.0,159.0,178.0,23.0,54.0,9.0,1.82
Kaifeng,0.2759762718563988,103101.83928571428,276.19583565848217,102241.36904761904,272.6900787353516,0.043821062360491,140.0,107.0,133.0,15.0,48.0,3.0,1.7
Anyang,-0.3986060101052989,103137.55978260867,274.71126655910325,100642.18478260867,270.76540142556894,-1.3693376624065896,304.0,254.0,280.0,11.0,51.0,10.0,2.67
Hebi,-0.6705763075086806,103126.09722222222,275.01500108506946,101081.52777777778,270.747804429796,-1.1021982828776042,177.0,134.0,181.0,4.0,47.0,8.0,2.77
Xinxiang,0.1296969327059659,103092.22727272728,275.4854181463068,100597.11363636365,270.8170318603516,-0.478944258256392,183.0,138.0,194.0,15.0,50.0,8.0,2.03
Jiaozuo,1.3768412272135415,103082.29166666669,276.45245768229165,99335.81666666668,270.3973704020182,-0.6176279703776042,227.0,177.0,221.0,9.0,44.0,7.0,2.37
Puyang,0.0120408799913194,103161.90277777778,275.004150390625,102521.75,272.3014068603516,-0.9880489773220488,226.0,176.0,172.0,11.0,45.0,8.0,2.1
