,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.0502381020403922,100633.18085106384,303.31715944980056,95830.4454787234,291.7735258061835,-0.1008768284574468,38.0,19.0,32.0,3.0,15.0,121.0,0.55
Tianjin,1.0498754327947444,100533.52272727272,305.8936360677083,100242.91098484848,297.18115974195075,1.2461233428030305,79.0,58.0,78.0,3.0,16.0,183.0,0.99
Shijiazhuang,-0.4880625406901042,100596.06944444444,302.9408365885417,96787.42361111112,298.5087076822917,1.8689236111111112,75.0,55.0,90.0,9.0,25.0,171.0,1.12
Tangshan,1.6978641086154511,100553.22222222222,304.82826063368054,99363.70138888888,296.4361165364583,1.3697374131944444,69.0,46.0,74.0,7.0,15.0,175.0,0.63
Langfang,0.6911529541015625,100524.0125,305.910693359375,100324.4125,297.651416015625,0.85634765625,68.0,41.0,67.0,7.0,14.0,174.0,0.72
Baoding,-0.5468691312349759,100605.22596153848,302.9404860276442,96202.25480769233,296.587158203125,1.3451209435096154,54.0,30.0,57.0,8.0,17.0,133.0,0.68
Cangzhou,1.0508209228515626,100555.89375,305.31015625,100442.4625,299.1666015625,2.1261962890625,71.0,47.0,92.0,6.0,26.0,143.0,0.83
Hengshui,1.1599273681640625,100559.05208333331,305.0570475260417,100288.35416666669,300.2586263020833,3.224853515625,104.0,78.0,98.0,14.0,21.0,139.0,0.77
Xingtai,0.1806756221886837,100616.99242424245,303.9229329427083,98163.57765151517,299.6014367305871,3.012606534090909,93.0,69.0,109.0,9.0,18.0,98.0,1.0
Handan,-0.3129098826441271,100642.31034482758,303.7427515490302,97512.4073275862,299.4515338766164,2.961240571120689,101.0,76.0,130.0,7.0,14.0,107.0,1.07
Taiyuan,-1.0456231158712637,100781.6195652174,298.5711722995924,87313.49728260869,292.6977857506794,1.4078209918478262,88.0,64.0,126.0,14.0,33.0,126.0,1.34
Yangquan,-0.5524924142020089,100747.05357142857,300.05025809151783,89927.70535714286,295.0916922433036,1.08203125,70.0,51.0,71.0,11.0,21.0,134.0,1.12
Changzhi,-1.0442195347377232,100828.58571428571,299.4360281808036,88856.8625,294.8869210379464,1.9629185267857143,65.0,44.0,79.0,11.0,22.0,118.0,1.08
Jincheng,-1.8308642843495244,100777.41304347826,300.4446437669837,90684.0625,295.91220490828806,2.874575407608696,49.0,24.0,49.0,5.0,4.0,112.0,0.7
Jinan,0.2411986320249496,100678.42741935483,304.7781706779234,98999.41733870968,298.6797583795363,2.438602570564516,66.0,48.0,80.0,11.0,14.0,149.0,0.86
Zibo,-0.3524133591424851,100690.44047619047,305.02877371651783,98611.63392857143,297.8748488653274,1.5013020833333333,65.0,45.0,73.0,9.0,13.0,172.0,0.67
Jining,-1.2313690185546875,100673.28125,304.66473388671875,99783.65625,299.34185791015625,2.163116455078125,68.0,49.0,72.0,5.0,8.0,125.0,1.2
Dezhou,1.1526500995342548,100609.3846153846,305.29024564302887,100302.1778846154,299.80106295072113,2.968975360576923,60.0,41.0,69.0,8.0,10.0,110.0,0.77
Liaocheng,-0.1039479573567708,100624.49074074074,305.02854636863424,100157.98842592593,300.0620388454861,3.455584490740741,58.0,41.0,61.0,7.0,10.0,120.0,0.6
Binzhou,0.8899756537543403,100614.17592592593,305.40455910011576,100381.0625,298.9951985677083,1.866825810185185,91.0,68.0,82.0,8.0,21.0,167.0,1.7
Heze,-1.7203068588719224,100631.59848484848,305.1776086055871,100052.66856060606,299.5833851207386,2.1474017518939394,55.0,28.0,60.0,6.0,11.0,124.0,0.63
Zhengzhou,-2.002629597981771,100558.1875,304.8136393229167,98374.10416666669,299.60302734375,1.843017578125,43.0,20.0,43.0,3.0,13.0,119.0,0.65
Kaifeng,-1.880036126999628,100585.60714285714,305.2852841331845,99806.77678571428,299.89065987723217,2.165922619047619,46.0,22.0,46.0,3.0,4.0,116.0,0.53
Anyang,-0.7875134011973506,100622.69565217392,304.3893618376359,98343.49728260867,299.7137504245924,3.0651749320652173,70.0,40.0,89.0,3.0,18.0,111.0,0.95
Hebi,-0.6149071587456597,100605.77777777778,304.7026638454861,98748.72916666669,299.8882107204861,3.0902777777777777,52.0,34.0,54.0,5.0,8.0,119.0,0.43
Xinxiang,-1.2955169677734375,100619.11363636365,304.4432927911932,98333.65340909093,299.57077858664775,2.4674627130681817,40.0,28.0,39.0,5.0,7.0,107.0,0.65
Jiaozuo,-2.2216562906901043,100595.6,304.0459798177083,97162.72916666669,299.059130859375,1.3455078125,54.0,34.0,57.0,5.0,10.0,121.0,0.6
Puyang,-1.0098181830512152,100616.69444444444,305.0744086371528,100040.17361111112,300.08525933159723,3.1089409722222223,44.0,26.0,44.0,3.0,9.0,121.0,0.6
