,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.6753400437375332,102809.86569148937,272.57142411901594,97523.2194148936,255.43614813622008,-0.7962831537774269,55.0,38.0,60.0,27.0,62.0,23.0,1.4
Tianjin,2.449632586854877,102820.20643939394,275.9315370501894,102500.08143939394,258.6879753343987,-0.525279189601089,167.0,127.0,145.0,58.0,62.0,48.0,2.94
Shijiazhuang,0.7102169460720487,102820.27083333331,275.1926540798611,98686.35416666669,258.4644707573785,-0.0249684651692708,78.0,57.0,96.0,148.0,64.0,31.0,1.19
Tangshan,3.3219790988498263,102761.65972222222,274.8572591145833,101450.1875,257.17416042751734,-0.9420962863498265,93.0,69.0,107.0,37.0,50.0,58.0,1.69
Langfang,1.6385101318359374,102835.0,275.96943359375,102615.0375,258.8783813476563,-0.1280120849609375,69.0,50.0,82.0,41.0,58.0,48.0,1.3
Baoding,1.0000598614032452,102814.64423076923,274.1560621995192,98010.37980769233,257.3450880784255,0.0222696157602163,135.0,103.0,140.0,101.0,75.0,43.0,2.85
Cangzhou,1.8264251708984376,102855.41875,277.08955078125,102731.2375,259.54552001953124,0.8911285400390625,94.0,70.0,101.0,54.0,60.0,53.0,1.68
Hengshui,0.9753265380859376,102875.08333333331,276.945068359375,102578.8125,261.6234334309896,1.3344065348307292,243.0,193.0,251.0,100.0,70.0,54.0,3.01
Xingtai,-0.2826709169330019,102847.14583333331,276.0800929214015,100199.99053030302,261.15696207682294,0.5124812270655776,146.0,112.0,161.0,192.0,94.0,20.0,2.82
Handan,-0.2609426564183728,102833.66594827586,276.5132172683189,99460.92887931036,261.82300015153555,0.7456796580347521,312.0,262.0,364.0,237.0,162.0,30.0,10.22
Taiyuan,1.427570508873981,102868.83423913045,269.7575365149456,88248.25271739131,254.12531579059103,-0.2375123397163722,85.0,63.0,100.0,172.0,43.0,22.0,3.12
Yangquan,2.3786119733537947,102813.59821428572,271.8367047991072,91066.61607142857,254.73066929408483,-0.7102595738002232,96.0,72.0,124.0,122.0,41.0,40.0,2.37
Changzhi,0.8654283796037946,102729.96964285716,273.4097516741072,89864.43035714286,256.5751726422991,-0.7518332345145089,224.0,174.0,263.0,264.0,79.0,44.0,4.06
Jincheng,0.8766618811565897,102732.00815217392,275.3200365149456,91899.47010869563,258.9624421492867,-0.4882766060207201,207.0,157.0,314.0,297.0,80.0,39.0,4.73
Jinan,1.7257124377835182,102924.65927419356,277.295158140121,101093.97782258064,262.82692595451107,1.3135784518334173,153.0,117.0,188.0,53.0,33.0,75.0,1.27
Zibo,2.3966783796037947,102892.63392857143,277.7167271205357,100629.49702380953,260.06460716610866,-0.2032841273716517,170.0,129.0,185.0,90.0,46.0,71.0,1.73
Jining,1.6112518310546875,103002.125,277.5966186523437,102030.59375,266.3818359375,2.3714752197265625,111.0,84.0,120.0,38.0,26.0,136.0,0.88
Dezhou,1.2246316763070912,102902.29326923077,277.55750450721155,102566.45673076923,262.18853759765625,1.594159639798678,309.0,259.0,350.0,67.0,48.0,53.0,2.67
Liaocheng,0.6975216335720487,102929.85879629628,277.2399269386574,102419.57638888888,265.76951994719326,2.111623693395544,204.0,154.0,188.0,62.0,39.0,62.0,1.93
Binzhou,2.144895765516493,102883.37731481482,277.8507486979167,102629.13194444444,258.8714441370081,0.1187489827473958,215.0,165.0,224.0,81.0,32.0,34.0,3.08
Heze,1.4073740641276042,102976.8125,278.4293471827651,102345.32386363635,266.32327362985325,2.7885820793383047,121.0,92.0,136.0,35.0,23.0,118.0,1.37
Zhengzhou,0.5438486735026041,102870.16666666669,278.2787272135417,100499.8125,265.72019449869794,1.0261789957682292,139.0,106.0,168.0,107.0,86.0,31.0,2.23
Kaifeng,1.1650935581752233,102939.15773809524,278.6053989955357,102089.87797619047,266.87859526134673,2.528998238699777,95.0,71.0,102.0,62.0,48.0,73.0,1.43
Anyang,-0.1751808498216712,102854.26902173914,277.4125127377717,100393.16576086955,264.05695641559106,1.3953850787618889,166.0,126.0,281.0,233.0,100.0,23.0,8.12
Hebi,-0.4513498942057292,102854.00694444444,277.70708550347223,100839.02083333331,264.3277520073785,1.6151682535807292,128.0,97.0,117.0,162.0,101.0,35.0,5.1
Xinxiang,0.4712205366654829,102860.65340909093,277.80446555397725,100395.96022727272,264.9048905806108,1.8913726806640625,227.0,177.0,253.0,95.0,72.0,21.0,3.04
Jiaozuo,0.7810719807942709,102814.29583333334,278.04072265625,99114.42083333334,263.1443318684896,1.001366170247396,106.0,80.0,131.0,144.0,60.0,35.0,2.93
Puyang,0.7591535780164931,102928.85416666669,277.6583658854167,102298.74305555556,266.4592624240452,2.249608357747396,129.0,98.0,175.0,46.0,39.0,71.0,2.02
