,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.6350763199177194,103863.15957446808,262.597723778258,98296.1569148936,245.95972718583772,-5.277127529712433,83.0,6.0,115.0,2.0,7.0,56.0,0.23
Tianjin,2.318619699189157,103600.37121212122,267.7723943536932,103266.47348484848,250.974853515625,-6.821108731356534,50.0,6.0,50.0,5.0,14.0,60.0,0.42
Shijiazhuang,-0.1229468451605902,103729.54166666669,266.618896484375,99424.875,248.59708658854169,-3.4572923448350696,143.0,26.0,236.0,5.0,10.0,65.0,0.38
Tangshan,1.9512719048394096,103412.44444444444,267.73472764756946,102051.59722222222,252.2178548177084,-6.22025892469618,102.0,24.0,154.0,10.0,16.0,50.0,0.4
Langfang,1.3271453857421875,103725.55,267.423291015625,103496.175,248.129638671875,-6.555718994140625,118.0,22.0,186.0,2.0,13.0,66.0,0.33
Baoding,0.8782196044921875,103846.375,264.4385704627404,98787.79807692308,246.0286020132212,-4.330493633563702,75.0,20.0,99.0,4.0,18.0,55.0,0.28
Cangzhou,0.7249481201171875,103601.65625,268.617529296875,103472.225,250.2041015625,-7.656427001953125,94.0,29.0,138.0,12.0,10.0,66.0,0.6
Hengshui,-1.6031443277994792,103629.58333333331,269.1349283854167,103322.33333333331,249.1553548177084,-6.614735921223958,190.0,31.0,329.0,5.0,17.0,56.0,0.45
Xingtai,-1.857990149295692,103588.22727272728,269.2036798650568,100849.89772727272,252.36003343986744,-4.915805701053504,152.0,61.0,254.0,7.0,19.0,48.0,0.7
Handan,-2.38787683947333,103492.61206896552,270.13576744342674,100014.7974137931,258.5007155845905,-4.507148479593211,422.0,343.0,522.0,16.0,88.0,8.0,3.43
Taiyuan,1.1496190610139263,104059.42391304349,261.17795728600544,88806.84239130435,247.6246497112772,-1.8864573603091035,104.0,21.0,157.0,10.0,22.0,60.0,0.59
Yangquan,2.601712908063616,103874.76785714286,262.7112513950893,91625.91071428572,246.04670061383928,-1.8640965053013392,60.0,24.0,69.0,4.0,10.0,69.0,0.3
Changzhi,-0.0763004847935267,103545.2357142857,266.7688685825893,90293.36785714286,254.8344517299107,-2.8327488490513395,93.0,39.0,135.0,28.0,34.0,36.0,1.02
Jincheng,0.3001795229704483,103346.70652173914,270.0388608186141,92269.19021739133,256.4133725373641,-3.055402672809103,104.0,78.0,141.0,34.0,49.0,32.0,1.54
Jinan,-0.7761087725239415,103312.03225806452,269.95990580897177,101432.68951612904,254.3975475680444,-6.600746400894657,287.0,214.0,411.0,14.0,61.0,14.0,1.58
Zibo,1.0855763753255208,103222.05952380953,270.1253603980655,100900.57738095238,256.8444591703869,-6.074266706194196,223.0,173.0,309.0,26.0,59.0,10.0,1.68
Jining,-1.3748016357421875,103045.2265625,273.48016357421875,102060.875,268.209228515625,-6.341583251953125,225.0,175.0,327.0,9.0,70.0,7.0,2.2
Dezhou,-0.7889979435847356,103472.01923076923,269.697021484375,103125.2403846154,249.87712214543268,-7.235710730919471,246.0,14.0,382.0,4.0,13.0,57.0,0.33
Liaocheng,-2.6557069001374423,103395.17592592593,271.07017686631946,102871.55092592593,255.0207881221065,-6.808502197265625,300.0,250.0,402.0,10.0,61.0,14.0,1.7
Binzhou,1.8055922896773728,103343.0925925926,270.01671911168984,103080.55092592593,254.607738353588,-7.384240044487847,146.0,47.0,242.0,10.0,16.0,55.0,0.63
Heze,-1.860919836795692,103093.0,273.532988577178,102450.83712121211,270.35547614820075,-6.098038182114109,235.0,185.0,301.0,10.0,61.0,5.0,2.13
Zhengzhou,-1.1464792887369792,103133.67708333331,274.1629231770833,100740.95833333331,267.4105631510417,-3.851633707682292,356.0,306.0,358.0,27.0,88.0,5.0,3.63
Kaifeng,-1.4418603806268602,103077.29761904762,273.4109816778274,102215.29166666669,271.8851027715774,-5.250466482979911,302.0,252.0,254.0,8.0,54.0,3.0,2.37
Anyang,-2.8444366455078125,103387.82608695651,272.000732421875,100855.7554347826,265.6986986243206,-5.543853759765625,426.0,389.0,501.0,32.0,95.0,6.0,4.57
Hebi,-2.867440117730035,103378.27777777778,272.7090657552083,101310.06944444444,267.3522406684028,-6.246002197265625,316.0,266.0,314.0,18.0,90.0,13.0,2.87
Xinxiang,-3.077391190962358,103236.0,273.5782359730114,100716.21590909093,267.8367143110796,-5.914059725674716,179.0,135.0,257.0,16.0,46.0,54.0,1.98
Jiaozuo,-1.0717152913411458,103183.35,273.1498209635417,99433.89166666666,261.7594889322917,-2.245090738932292,289.0,239.0,335.0,15.0,83.0,3.0,3.0
Puyang,-3.119881523980035,103299.58333333331,272.32191297743054,102655.40277777778,264.45445421006946,-6.624257405598958,366.0,316.0,386.0,12.0,62.0,6.0,3.05
