,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.835192416576629,101556.8204787234,281.45335355718083,96455.1329787234,268.84423828125,-2.163190801092919,21.0,7.0,13.0,3.0,7.0,67.0,0.18
Tianjin,3.5308833266749526,101499.56628787878,285.433623342803,101191.38636363635,269.75658439867425,-3.933303833007813,21.0,10.0,11.0,4.0,15.0,68.0,0.35
Shijiazhuang,2.226045396592882,101713.55555555556,284.8713107638889,97720.91666666669,266.6901584201389,0.0698428683810764,34.0,17.0,34.0,6.0,19.0,62.0,0.23
Tangshan,4.129447089301215,101329.39583333331,283.66270616319446,100067.19444444444,268.59922960069446,-4.701180352105035,28.0,14.0,28.0,6.0,10.0,79.0,0.3
Langfang,2.3324798583984374,101568.8375,285.40244140625,101357.8,270.30830078125,-2.0108917236328123,22.0,12.0,21.0,3.0,10.0,70.0,0.22
Baoding,1.875951913686899,101631.9278846154,282.68359375,96992.96153846152,268.53677133413464,-0.1839986947866586,24.0,13.0,20.0,5.0,9.0,76.0,0.23
Cangzhou,3.1192230224609374,101600.175,286.2162109375,101480.975,270.842529296875,-3.1264434814453126,38.0,18.0,38.0,12.0,15.0,56.0,0.57
Hengshui,2.316675821940104,101672.36458333331,287.1055501302083,101389.16666666669,268.891845703125,-2.5611114501953125,32.0,13.0,32.0,8.0,11.0,79.0,0.3
Xingtai,1.97202324144768,101746.92992424245,286.761689157197,99177.20454545454,265.1717714251894,-2.7177202629320547,53.0,19.0,55.0,7.0,16.0,64.0,0.33
Handan,1.4119467899717133,101758.48922413791,287.1942685883621,98479.75,264.48607556573273,-3.679902701542295,57.0,23.0,63.0,6.0,25.0,58.0,0.37
Taiyuan,2.4324267843495244,102100.52445652174,277.3224779211956,87873.48913043478,263.87421450407606,-0.3654539688773777,21.0,6.0,21.0,5.0,28.0,52.0,0.36
Yangquan,3.0121045793805803,101877.3125,280.4680524553572,90491.39285714286,262.6824079241072,0.079251970563616,29.0,14.0,29.0,5.0,21.0,74.0,0.33
Changzhi,0.9127184186662948,101995.4875,280.84483816964286,89415.97857142857,264.7507672991072,-2.678253609793527,57.0,15.0,63.0,14.0,17.0,70.0,0.54
Jincheng,0.1152138088060461,101805.74184782608,283.8325832201087,91272.70652173914,268.1225161345109,-4.22406470257303,84.0,24.0,118.0,11.0,16.0,62.0,0.84
Jinan,1.077853787329889,101570.51814516127,286.23692666330646,99810.9758064516,272.01920047883067,-4.5847025225239415,61.0,30.0,71.0,5.0,17.0,73.0,0.46
Zibo,2.284658522832961,101505.91369047618,285.84649367559524,99325.98809523808,273.20863560267856,-4.4918975830078125,54.0,19.0,57.0,11.0,20.0,66.0,0.45
Jining,0.0680389404296875,101466.2421875,288.1874389648437,100538.9375,276.54132080078125,-5.455734252929688,98.0,73.0,85.0,15.0,30.0,61.0,0.97
Dezhou,2.007806631234976,101624.02403846152,287.0303485576923,101302.17307692308,269.71908804086536,-4.166739830603967,33.0,19.0,33.0,7.0,17.0,64.0,0.57
Liaocheng,0.5929525869864004,101645.80787037036,288.22515190972223,101157.89814814816,267.77493851273147,-5.285698219581887,59.0,30.0,68.0,5.0,11.0,70.0,0.27
Binzhou,3.689849288375289,101524.14120370372,286.5974030671296,101279.30555555556,270.92236328125,-5.230142664026331,36.0,5.0,36.0,7.0,17.0,68.0,0.47
Heze,-1.231279315370502,101512.31628787878,289.9103042140151,100910.17424242424,270.9726710464015,-6.409067327325994,87.0,35.0,123.0,10.0,15.0,77.0,0.3
Zhengzhou,-1.5200347900390625,101516.07291666669,290.060302734375,99264.33333333331,277.2540690104167,-2.901484171549479,96.0,37.0,141.0,11.0,25.0,70.0,0.63
Kaifeng,-2.832156953357515,101515.12797619047,290.6963820684524,100707.22619047618,273.24183872767856,-5.333275931222098,74.0,41.0,98.0,13.0,22.0,69.0,0.73
Anyang,-0.4134886368461277,101674.04619565218,288.7336531929348,99297.09782608696,267.02851137907606,-4.995379240616508,107.0,9.0,164.0,10.0,13.0,70.0,0.3
Hebi,-1.546659681532118,101638.46527777778,289.49359809027777,99706.52777777778,269.0252278645833,-5.2672882080078125,73.0,21.0,95.0,8.0,16.0,66.0,0.43
Xinxiang,-2.498117620294744,101575.52840909093,289.24582741477275,99201.11363636365,270.33829012784093,-4.601139415394176,109.0,33.0,167.0,11.0,17.0,65.0,0.35
Jiaozuo,-0.2168853759765625,101561.62083333332,288.3688151041667,98008.95,275.53538411458334,-2.7368845621744797,84.0,53.0,117.0,26.0,46.0,52.0,0.97
Puyang,-0.7347022162543403,101628.45138888888,289.30967881944446,101026.41666666669,266.19135199652777,-6.0666046142578125,77.0,11.0,103.0,7.0,8.0,71.0,0.3
