,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.5546628262134309,102919.6409574468,267.41027767100235,97529.48138297872,258.1305938071393,-2.2652750218168216,36.0,17.0,36.0,7.0,34.0,31.0,0.5
Tianjin,0.7546812115293561,102813.29924242424,270.61306392785275,102486.95075757576,259.9360582756274,-3.86707930131392,37.0,26.0,35.0,6.0,28.0,49.0,0.86
Shijiazhuang,0.2556898328993056,102791.875,269.8313700358073,98637.90277777778,265.4743414984809,-0.7599114312065972,110.0,83.0,135.0,44.0,65.0,13.0,1.98
Tangshan,0.9444919162326388,102752.59027777778,269.2972988552517,101414.81944444444,259.55534193250867,-3.3107198079427085,51.0,26.0,51.0,22.0,34.0,38.0,0.63
Langfang,-0.98062744140625,102839.5125,270.82554321289064,102615.975,260.3833801269531,-2.924945068359375,38.0,26.0,38.0,10.0,44.0,26.0,0.6
Baoding,-0.4781259390024038,102841.48557692308,269.1900564340445,97985.72115384616,262.77619112454926,-0.8891014685997596,130.0,99.0,118.0,26.0,77.0,11.0,2.07
Cangzhou,-0.94906005859375,102811.80625,271.75225219726565,102685.225,263.50042114257815,-3.292205810546875,65.0,47.0,60.0,34.0,55.0,15.0,0.93
Hengshui,-1.6581827799479167,102814.40625,271.83006795247394,102514.875,268.83800252278644,-1.781707763671875,209.0,159.0,202.0,19.0,69.0,4.0,4.55
Xingtai,0.54217529296875,102781.22348484848,270.6470956513376,100119.3446969697,267.96328365441525,-1.5615040172230117,70.0,51.0,66.0,34.0,43.0,30.0,0.82
Handan,1.214892157192888,102777.99568965516,270.789332948882,99388.27155172414,268.01488942113417,-1.1963216847386853,278.0,228.0,310.0,158.0,85.0,4.0,3.7
Taiyuan,1.4850251570991848,102861.85326086955,267.36965411642325,88203.46195652174,261.13138878863793,-0.0640245520550271,73.0,53.0,82.0,77.0,62.0,7.0,1.37
Yangquan,1.9844185965401784,102807.42857142857,268.8183026994978,91016.66071428572,262.3563014439174,0.464508056640625,64.0,46.0,76.0,57.0,61.0,16.0,1.18
Changzhi,1.1161429268973215,102824.625,267.6863272530692,89888.40357142857,261.7938014439174,-0.553656005859375,110.0,83.0,140.0,181.0,75.0,16.0,3.94
Jincheng,0.7406722359035326,102764.82065217392,270.1924292522928,91906.20108695651,264.0412053647249,-2.1022378672724185,72.0,51.0,94.0,126.0,52.0,33.0,2.08
Jinan,0.4370530651461694,102744.47983870968,272.39917287518904,100906.05241935483,270.4002872590096,-2.3228533344884075,177.0,134.0,188.0,26.0,68.0,8.0,2.33
Zibo,1.7905476888020833,102706.77976190476,271.53909883045014,100423.08928571428,268.09867495582216,-2.197694324311756,234.0,184.0,259.0,55.0,75.0,5.0,4.08
Jining,-1.170166015625,102694.2578125,272.7032165527344,101728.09375,272.2094421386719,-1.532379150390625,135.0,103.0,179.0,16.0,53.0,17.0,3.75
Dezhou,-0.4941077599158653,102790.67307692308,272.41778329702527,102452.60576923077,269.583733191857,-2.8132488544170675,143.0,109.0,197.0,23.0,53.0,3.0,3.83
Liaocheng,-0.1419248227719907,102749.31944444444,273.0637557418258,102241.33796296296,272.2561340332031,-2.0438469780815973,219.0,169.0,331.0,15.0,61.0,1.0,4.1
Binzhou,1.4874516239872686,102740.60648148147,272.512612802011,102482.9675925926,266.97090544524013,-3.846038818359375,156.0,119.0,163.0,25.0,64.0,6.0,2.53
Heze,-1.3501364968039773,102688.89772727272,272.9981846664891,102062.25378787878,272.1567614006274,-0.4097521232836174,211.0,161.0,203.0,49.0,55.0,6.0,3.43
Zhengzhou,1.7203165690104167,102672.19791666669,275.3697001139323,100329.83333333331,270.7880350748698,-0.8798116048177084,71.0,38.0,91.0,38.0,71.0,13.0,0.97
Kaifeng,1.4044334774925595,102661.13690476192,274.42916579473587,101820.47023809524,271.50036766415553,-1.778888520740327,73.0,26.0,95.0,72.0,76.0,4.0,1.4
Anyang,0.6513379967730978,102749.91847826086,271.56258889903194,100286.46195652174,269.4472855277683,-1.6197310737941577,194.0,146.0,203.0,72.0,70.0,7.0,3.85
Hebi,0.4610120985243056,102742.26388888888,272.25682576497394,100732.59722222222,269.6643371582031,-2.0485127766927085,123.0,93.0,123.0,35.0,57.0,7.0,2.7
Xinxiang,0.5592207475142046,102694.61363636365,272.7349270907316,100235.55681818182,269.6477355957031,-2.0635015314275567,104.0,78.0,123.0,23.0,58.0,7.0,2.33
Jiaozuo,1.2887247721354167,102701.525,273.03416951497394,99015.04166666669,268.6747538248698,-1.154632568359375,61.0,37.0,71.0,50.0,37.0,42.0,1.5
Puyang,-0.6716376410590278,102730.73611111112,273.14647420247394,102104.31944444444,272.06982760959204,-1.7502271864149306,215.0,165.0,229.0,35.0,74.0,6.0,3.17
