,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-0.1022501194730718,103089.3869680851,279.8044485538564,97918.8510638298,263.12084896006485,-1.8518280678607049,23.0,7.0,20.0,2.0,24.0,74.0,0.42
Tianjin,0.3444482051964962,103016.7518939394,281.8346798058712,102704.84848484848,265.3523402358546,-0.1645276618726325,63.0,16.0,76.0,7.0,34.0,29.0,0.97
Shijiazhuang,-1.2883199055989585,103021.34722222222,280.2861328125,98948.88888888888,269.83154635959204,1.3370530870225694,99.0,74.0,131.0,28.0,51.0,74.0,0.63
Tangshan,0.1617397732204861,103017.00694444444,280.16612413194446,101738.80555555556,264.3442959255642,1.215552435980903,71.0,21.0,91.0,24.0,45.0,52.0,1.27
Langfang,-1.009625244140625,103022.875,282.3234375,102808.95,265.1057434082031,-0.394842529296875,34.0,9.0,34.0,3.0,41.0,69.0,0.33
Baoding,-0.5011854905348557,103032.93269230767,279.89937650240387,98320.40384615384,266.95077045147235,1.3500906137319713,72.0,26.0,93.0,14.0,21.0,70.0,0.41
Cangzhou,-0.711651611328125,103053.0875,281.33505859375,102931.225,266.2605773925781,0.752960205078125,43.0,17.0,43.0,23.0,38.0,75.0,0.51
Hengshui,-1.3029683430989585,103065.375,281.763427734375,102775.33333333331,267.8102518717448,-0.6173197428385416,85.0,42.0,120.0,11.0,38.0,90.0,1.45
Xingtai,-1.7026043516216856,103063.10037878789,281.9679066051136,100437.36363636365,270.38583928888494,-0.3902615633877841,62.0,31.0,73.0,25.0,38.0,72.0,0.5
Handan,-1.4015955431707974,103061.0625,282.6571087015086,99711.62068965516,270.93801038018586,-0.9009915055899784,65.0,22.0,80.0,10.0,24.0,89.0,0.62
Taiyuan,-0.2164293372112771,102974.52989130437,277.0244777513587,88615.52173913043,270.9060576065727,0.683868408203125,85.0,63.0,97.0,48.0,45.0,43.0,1.18
Yangquan,-0.2407008579799107,102979.77678571428,277.66748046875,91432.85714285714,269.27943202427457,1.2392534528459822,116.0,88.0,160.0,30.0,57.0,49.0,1.11
Changzhi,-1.175229317801339,103002.3125,278.1688755580357,90242.17142857144,271.15353916713167,0.1039297921316964,58.0,38.0,65.0,22.0,27.0,98.0,1.96
Jincheng,-1.013304337211277,102939.5625,280.40389351222825,92224.60869565218,270.1172498620075,1.3366367505944294,60.0,33.0,69.0,47.0,29.0,98.0,0.87
Jinan,-1.7949720813382055,103098.25604838708,280.7463615171371,101287.93548387096,264.3131841844128,-1.1913836079259073,73.0,33.0,95.0,30.0,31.0,69.0,0.82
Zibo,-2.4019034249441966,103155.09821428572,278.9558919270833,100898.52380952382,261.48599824451264,-1.1255623953683036,53.0,19.0,56.0,22.0,34.0,57.0,0.83
Jining,-0.929840087890625,103003.7109375,283.3598022460937,102052.84375,269.5114440917969,-3.0390625,61.0,28.0,72.0,191.0,28.0,88.0,1.02
Dezhou,-1.640308086688702,103080.95673076923,281.20691856971155,102751.03846153848,266.5009507399339,-0.5384873610276443,78.0,40.0,106.0,22.0,34.0,101.0,0.94
Liaocheng,-1.4810824924045138,103068.24768518518,282.68744574652777,102568.66666666669,269.7898073549624,-1.5819736056857638,66.0,31.0,81.0,22.0,26.0,68.0,1.56
Binzhou,-1.870188395182292,103109.73842592593,280.1148907696759,102857.62962962964,262.7581233271846,0.9371236165364584,64.0,32.0,78.0,16.0,22.0,42.0,1.02
Heze,-1.5172646262428977,102980.5928030303,285.0253758285985,102363.69696969698,270.4642010313092,-2.9745122736150567,109.0,40.0,168.0,28.0,25.0,120.0,0.8
Zhengzhou,-1.7446187337239585,102945.57291666669,284.6393229166667,100624.58333333331,269.8451639811198,-1.2598164876302085,85.0,32.0,120.0,26.0,45.0,85.0,0.96
Kaifeng,-1.2657427106584822,102941.25297619047,285.8785109747024,102114.42857142857,270.34146699451264,-2.1379321870349703,76.0,36.0,102.0,21.0,32.0,97.0,2.03
Anyang,-1.516913372537364,103027.62771739133,283.6527046535326,100593.56521739133,270.7701880413553,-1.4982392684273098,73.0,26.0,96.0,21.0,26.0,75.0,0.51
Hebi,-1.4542812771267362,103014.61805555556,284.28184678819446,101034.77777777778,270.8020324707031,-1.556365966796875,61.0,44.0,66.0,19.0,40.0,90.0,0.57
Xinxiang,-1.6762223677201704,102987.85795454546,284.17067649147725,100553.63636363635,270.8540566184304,-1.3543950861150569,82.0,31.0,113.0,17.0,18.0,88.0,0.52
Jiaozuo,-2.070318603515625,102970.74583333332,283.7937825520833,99316.73333333334,270.0065897623698,0.199493408203125,91.0,37.0,132.0,25.0,35.0,91.0,1.02
Puyang,-1.6671176486545138,103038.0625,284.10443793402777,102422.05555555556,270.78673299153644,-1.835662841796875,72.0,25.0,94.0,16.0,29.0,71.0,0.91
