,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.303548609956782,102744.5824468085,263.38050809819646,97366.34840425532,250.70477262456367,-0.5584960288189827,56.0,24.0,61.0,4.0,58.0,6.0,0.59
Tianjin,1.996502500591856,102763.1856060606,267.9570136792732,102437.20075757576,255.0751939253373,1.323628281102036,57.0,26.0,64.0,9.0,67.0,8.0,0.93
Shijiazhuang,1.7340020073784723,102812.13194444444,267.8711649576823,98593.40277777778,253.3903079562717,0.8683183458116319,63.0,33.0,76.0,24.0,61.0,9.0,0.89
Tangshan,2.296637641059028,102742.81944444444,266.1902296278212,101406.375,253.5343509250217,-0.1693606906467014,60.0,36.0,69.0,11.0,63.0,7.0,0.9
Langfang,1.68057861328125,102756.1125,267.78526000976564,102532.575,254.8483917236328,1.4307098388671875,59.0,34.0,68.0,12.0,69.0,10.0,0.9
Baoding,1.4616558368389423,102788.48557692308,265.5130920410156,97879.85576923077,252.6472649207482,0.1295905480018029,57.0,29.0,64.0,12.0,54.0,9.0,0.67
Cangzhou,1.85823974609375,102849.05,268.4575256347656,102721.825,255.8095245361328,2.6509002685546874,62.0,37.0,73.0,18.0,37.0,21.0,0.83
Hengshui,1.5755411783854167,102869.125,269.3789774576823,102565.70833333331,255.8071645100912,3.354375203450521,60.0,28.0,70.0,23.0,55.0,19.0,0.7
Xingtai,1.4387669418797349,102874.92045454546,268.7063034520005,100167.625,255.0281413685192,2.2720480254202178,58.0,28.0,66.0,13.0,55.0,10.0,0.73
Handan,1.5521808492726292,102920.18534482758,268.8558654785156,99468.86637931036,254.88379379798627,2.248614607186153,57.0,23.0,63.0,11.0,40.0,18.0,0.65
Taiyuan,2.3666647206182065,103252.625,260.0743607230808,88207.49456521739,246.32024549401325,0.3608007016389266,55.0,32.0,60.0,23.0,49.0,20.0,0.9
Yangquan,3.3663766043526784,102959.21428571428,264.3661891392299,90940.41071428572,247.29508536202567,0.5602438790457589,54.0,30.0,57.0,26.0,46.0,23.0,0.75
Changzhi,2.109805733816964,103178.56071428572,264.2309212820871,89907.88214285714,248.79737330845424,-0.0439692905970982,45.0,20.0,45.0,30.0,39.0,31.0,0.98
Jincheng,2.254105277683424,103237.03804347826,266.02018273395043,92025.625,250.3976911461872,-1.4499160103175952,49.0,16.0,49.0,16.0,19.0,52.0,1.06
Jinan,1.2931636687247985,103061.77822580644,267.29935086158014,101179.91532258064,257.31300550891507,2.509795650359123,67.0,43.0,84.0,21.0,39.0,28.0,0.91
Zibo,1.883931477864584,103048.27976190476,266.62809390113466,100716.24404761904,256.6175369989304,1.675385248093378,70.0,51.0,87.0,25.0,55.0,16.0,1.42
Jining,1.345611572265625,103190.640625,267.6957092285156,102194.4375,259.29579162597656,2.169784545898437,65.0,47.0,78.0,18.0,53.0,20.0,0.97
Dezhou,1.6626774714543269,102964.19230769233,268.6458294208233,102619.625,256.4812868558444,3.291925283578726,76.0,49.0,102.0,22.0,39.0,25.0,0.87
Liaocheng,0.9896895797164352,103024.80092592593,269.2469245062934,102501.84722222222,257.4528441252532,3.655698988172743,65.0,37.0,80.0,16.0,42.0,26.0,0.77
Binzhou,2.3029491283275463,102956.89351851853,267.75755818684894,102695.58796296296,256.4731710928458,2.209482263635706,65.0,37.0,79.0,30.0,68.0,6.0,0.73
Heze,1.3222304835464016,103164.03409090907,269.07911358457625,102516.47348484848,258.6940978079131,2.817325014056581,70.0,40.0,89.0,10.0,32.0,32.0,0.53
Zhengzhou,2.9506632486979165,103162.25,270.4200744628906,100729.75,255.7233428955078,1.0644989013671875,41.0,21.0,41.0,7.0,54.0,20.0,0.64
Kaifeng,1.846403576078869,103157.81547619047,269.9638453892299,102290.05357142857,258.6308368501209,2.476166498093378,58.0,40.0,65.0,10.0,42.0,22.0,0.7
Anyang,1.5686857804008152,102979.89673913045,269.4050332774287,100461.625,256.28942008640456,2.503251448921535,58.0,38.0,66.0,11.0,54.0,8.0,0.88
Hebi,1.6412014431423612,102972.43055555556,269.2658047146267,100915.51388888888,256.7767011854384,2.26865471733941,67.0,31.0,83.0,11.0,47.0,8.0,0.67
Xinxiang,2.3290516246448862,103044.46590909093,269.6830139160156,100517.39772727272,256.4335923628374,1.806109341708097,53.0,29.0,55.0,14.0,29.0,28.0,0.55
Jiaozuo,2.7869913736979166,103126.425,269.3058654785156,99319.89166666666,254.4453643798828,-0.0975128173828125,54.0,30.0,58.0,9.0,42.0,16.0,0.63
Puyang,1.1006198459201388,103053.31944444444,269.8519592285156,102408.01388888888,257.82184007432727,3.70078362358941,57.0,34.0,64.0,9.0,33.0,31.0,0.53
