,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.2691614678565492,100188.12632978724,297.61576421210106,95380.54388297872,293.5007012549867,0.0651443156790226,43.0,14.0,41.0,2.0,16.0,136.0,0.5
Tianjin,-0.0858621308297822,100083.99431818182,301.03955078125,99792.4678030303,295.6269013375947,0.7516419381806345,107.0,24.0,40.0,6.0,14.0,213.0,0.92
Shijiazhuang,-1.0532582600911458,100061.65972222222,302.2166341145833,96282.13194444444,291.958740234375,0.8737369113498263,96.0,29.0,66.0,7.0,23.0,197.0,0.63
Tangshan,-0.4928741455078125,100197.79861111112,298.53868272569446,98999.13194444444,294.6665852864583,0.0551876491970486,85.0,22.0,65.0,5.0,23.0,188.0,0.59
Langfang,0.4069793701171875,100055.8125,301.7755859375,99856.6375,295.639599609375,0.6037933349609375,94.0,24.0,46.0,9.0,17.0,195.0,0.53
Baoding,-0.6371049147385818,100135.25,300.38022085336536,95748.8028846154,292.555908203125,0.4202446570763221,80.0,22.0,49.0,6.0,22.0,184.0,0.29
Cangzhou,-0.3792022705078125,100082.4,302.703515625,99969.6125,295.182568359375,0.0284271240234375,89.0,28.0,52.0,4.0,9.0,191.0,0.47
Hengshui,-0.5337270100911459,100052.57291666669,303.8138834635417,99784.39583333331,294.1895345052083,-0.2137196858723958,93.0,18.0,38.0,9.0,9.0,194.0,0.43
Xingtai,0.1320592706853693,100089.35037878789,302.7095910274621,97648.31628787878,293.7094060724432,0.2122835101503314,134.0,26.0,47.0,11.0,14.0,268.0,1.1
Handan,0.9043426513671876,100135.64870689657,302.25210466056035,97019.74784482758,292.79617625269395,0.170007639917834,112.0,21.0,42.0,11.0,11.0,223.0,0.52
Taiyuan,0.0929465915845788,100301.35597826086,297.1341499660326,86932.82880434782,287.4971021569294,0.959818300993546,64.0,28.0,46.0,5.0,25.0,171.0,0.85
Yangquan,-1.245908464704241,100206.58035714286,298.30517578125,89477.00892857143,288.36812918526783,1.0763658796037947,49.0,21.0,40.0,12.0,34.0,157.0,0.82
Changzhi,0.0114018031529017,100430.60535714286,296.47107979910714,88517.20892857143,289.6101771763393,0.8473061697823661,84.0,17.0,36.0,11.0,12.0,187.0,0.58
Jincheng,-0.3809834355893342,100428.88858695651,297.0010827105978,90376.4375,290.8018745754076,0.528644727623981,91.0,7.0,29.0,10.0,12.0,193.0,0.5
Jinan,-0.5597765522618448,100214.27217741936,299.8885931199597,98536.14717741936,294.4367990801412,0.7054723924206149,45.0,20.0,40.0,8.0,17.0,145.0,0.44
Zibo,-0.0410628545851934,100265.74107142857,298.86841982886904,98182.24702380953,294.5213564918155,0.6043839227585566,55.0,37.0,60.0,9.0,43.0,74.0,1.04
Jining,-0.7393951416015625,100234.359375,300.398681640625,99346.5,294.6998291015625,1.3795013427734375,41.0,10.0,40.0,7.0,10.0,131.0,0.67
Dezhou,-0.7398881178635818,100099.29326923077,302.7077448918269,99794.01442307692,294.92948091947113,-0.1001129150390625,103.0,32.0,52.0,3.0,8.0,206.0,0.67
Liaocheng,0.0812813087745949,100078.89583333331,303.6971752025463,99616.8449074074,293.734691478588,0.5577827736183449,105.0,22.0,47.0,10.0,13.0,209.0,0.7
Binzhou,-0.4177782977068865,100133.95138888888,301.77001953125,99901.54861111112,295.61902307581016,-0.1471145064742476,91.0,43.0,67.0,5.0,10.0,193.0,0.8
Heze,0.3271350282611269,100169.66856060606,303.16117720170456,99594.92234848483,293.8560680042614,1.199558604847301,48.0,11.0,37.0,4.0,10.0,152.0,0.4
Zhengzhou,0.5894012451171875,100187.40625,302.894287109375,98015.5625,293.89599609375,1.2218678792317708,49.0,18.0,42.0,3.0,15.0,156.0,0.42
Kaifeng,1.577333722795759,100165.36011904762,303.92626953125,99392.29464285714,293.882312593006,1.6794862293061756,48.0,14.0,48.0,2.0,13.0,129.0,0.48
Anyang,0.921878317128057,100139.3125,302.7919284986413,97871.3070652174,293.41948666779894,0.0965370509935461,112.0,14.0,42.0,5.0,9.0,224.0,0.42
Hebi,1.0269554985894098,100124.5625,303.3639865451389,98280.32638888888,293.4362250434028,0.1676279703776041,111.0,23.0,42.0,10.0,8.0,221.0,0.34
Xinxiang,0.8835685036399148,100164.21022727272,302.7833362926136,97889.21022727272,293.1754039417614,-0.0583426735617897,75.0,21.0,55.0,5.0,12.0,180.0,0.43
Jiaozuo,-0.1922068277994791,100200.52916666666,301.90491536458336,96783.57083333332,293.1245930989583,-0.2425933837890625,104.0,16.0,52.0,5.0,8.0,208.0,0.44
Puyang,0.8492753770616319,100098.77083333331,303.5436740451389,99527.10416666669,293.55579969618054,0.4014061821831597,93.0,17.0,42.0,4.0,10.0,194.0,0.4
