,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-0.1390111395653258,99970.30718085106,300.29032995345744,95187.05984042551,295.526299659242,2.32982943920379,110.0,38.0,79.0,2.0,15.0,219.0,0.84
Tianjin,0.1053378943241003,99949.52462121211,301.4148023200757,99659.00568181818,296.3241077769886,1.8907572428385415,47.0,28.0,47.0,8.0,19.0,136.0,0.91
Shijiazhuang,0.9538794623480904,100167.45138888888,297.3343098958333,96356.38194444444,294.173095703125,1.3365580240885415,33.0,18.0,33.0,5.0,12.0,96.0,0.43
Tangshan,-1.5752817789713542,100002.75694444444,299.97303602430554,98812.79861111112,295.1757541232639,2.425533718532986,33.0,10.0,33.0,5.0,13.0,98.0,0.68
Langfang,1.3162384033203125,99938.15,301.44541015625,99738.8875,295.455419921875,2.082342529296875,76.0,34.0,72.0,7.0,19.0,181.0,0.53
Baoding,1.5524914081280048,100086.5625,298.64408052884613,95690.24519230767,293.96659029447113,2.0433513934795675,58.0,28.0,66.0,8.0,14.0,138.0,0.59
Cangzhou,1.8344268798828125,100034.26875,299.916162109375,99920.8125,295.683154296875,1.676873779296875,52.0,32.0,54.0,8.0,11.0,103.0,0.4
Hengshui,1.4014841715494792,100103.97916666669,298.2709147135417,99832.77083333331,295.8970540364583,1.1842549641927085,33.0,11.0,32.0,7.0,10.0,106.0,0.45
Xingtai,0.2955900250059186,100188.97159090907,296.04483309659093,97727.00568181818,294.8835893110796,-0.3358348499644886,34.0,13.0,24.0,6.0,10.0,108.0,0.43
Handan,-0.8735093741581358,100163.0452586207,295.3922750538793,97020.5323275862,294.7550259294181,-2.442699563914332,34.0,13.0,25.0,4.0,7.0,108.0,0.5
Taiyuan,0.310580709706182,100409.12771739133,296.0792713994565,86953.66576086957,292.5215586786685,0.2744472337805707,34.0,18.0,30.0,5.0,18.0,109.0,0.78
Yangquan,0.0117252894810267,100340.50892857143,295.4673549107143,89511.6875,292.387939453125,0.5384739467075893,30.0,19.0,30.0,10.0,15.0,84.0,0.78
Changzhi,-0.0217429024832589,100347.80535714286,294.2336774553572,88372.84464285715,292.6169852120536,-1.6481192452566964,28.0,5.0,10.0,8.0,8.0,88.0,0.58
Jincheng,0.8739298944887908,100223.9429347826,295.9033203125,90146.79619565218,294.35053286345106,-1.151121720023777,29.0,16.0,29.0,2.0,14.0,77.0,0.94
Jinan,-0.325623050812752,100143.84475806452,297.5182396673387,98461.38104838708,295.7478499873992,-0.2753738895539314,38.0,17.0,38.0,3.0,33.0,75.0,0.55
Zibo,0.5565309070405506,100175.14583333331,298.1614118303572,98094.56845238096,295.7950730096726,-0.4103495279947917,53.0,34.0,55.0,10.0,45.0,74.0,0.69
Jining,-2.7882537841796875,99998.84375,297.135986328125,99107.65625,295.619384765625,0.164581298828125,28.0,18.0,28.0,6.0,18.0,70.0,0.68
Dezhou,0.1577535775991586,100108.52403846152,297.6651141826923,99800.22596153848,295.5918156550481,0.6724454439603366,27.0,17.0,27.0,7.0,17.0,86.0,0.67
Liaocheng,-1.530088636610243,100064.62731481482,296.8967375578704,99596.48379629628,295.8344455295139,-1.1536220974392362,29.0,20.0,21.0,6.0,14.0,94.0,0.76
Binzhou,1.842813562463831,100091.52546296296,299.3404586226852,99857.70601851853,297.08914749710647,0.5743871618200231,50.0,35.0,46.0,7.0,19.0,108.0,0.55
Heze,-0.541856707948627,99914.3731060606,298.74322324810606,99335.94507575755,298.3413899739583,-0.5416527950402462,23.0,12.0,18.0,6.0,14.0,72.0,0.35
Zhengzhou,0.7156117757161459,99981.16666666669,299.756103515625,97800.14583333331,297.9808756510417,-1.2591044108072915,21.0,5.0,21.0,3.0,17.0,65.0,0.64
Kaifeng,0.5681566510881696,99928.49107142857,300.2754371279762,99151.71130952382,299.15137881324404,-2.084596179780506,27.0,16.0,27.0,3.0,11.0,76.0,0.9
Anyang,0.6106826118800951,100071.77989130437,296.24087126358694,97783.92663043478,295.94097104279894,-3.3430374808933423,34.0,10.0,14.0,4.0,10.0,110.0,0.46
Hebi,0.7238176133897569,100069.14583333331,296.31890190972223,98204.29861111112,295.84746636284723,-3.4384528266059027,30.0,9.0,19.0,5.0,9.0,96.0,0.9
Xinxiang,0.1690659956498579,100029.52840909093,297.61629971590907,97742.77840909093,296.8865189985796,-2.749941739169034,26.0,10.0,21.0,4.0,12.0,82.0,1.24
Jiaozuo,0.6336049397786458,100008.7125,299.0736328125,96584.72083333334,297.37810872395835,-0.1040995279947916,26.0,16.0,26.0,3.0,11.0,69.0,0.98
Puyang,-0.8884328206380209,99976.50694444444,297.2570529513889,99398.1875,296.779541015625,-1.7882792154947915,25.0,13.0,16.0,3.0,10.0,79.0,0.47
