,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.4900006233377659,101044.49867021276,275.7496571642287,96044.05718085106,273.471368018617,-0.4049997532621343,249.0,199.0,269.0,5.0,106.0,4.0,3.38
Tianjin,0.5000073982007576,101078.16098484848,278.3478486032197,100771.58522727272,277.70809659090907,0.826795635801373,194.0,146.0,188.0,14.0,60.0,2.0,3.24
Shijiazhuang,1.4749891493055556,101068.9375,279.6634114583333,97158.42361111112,277.36566840277777,-0.0717824300130208,230.0,180.0,345.0,33.0,81.0,5.0,5.85
Tangshan,0.5569118923611112,101085.45833333331,278.70068359375,99829.86805555556,277.1955837673611,0.6906144883897569,454.0,318.0,554.0,104.0,93.0,6.0,11.12
Langfang,0.160595703125,101083.3875,277.03779296875,100871.4625,276.53408203125,0.1595001220703125,91.0,68.0,115.0,8.0,57.0,2.0,3.7
Baoding,0.7136793870192307,101037.97115384616,277.458984375,96515.9278846154,275.73790564903845,-0.6751039945162259,260.0,210.0,321.0,16.0,102.0,7.0,2.65
Cangzhou,1.46689453125,101094.05,280.570068359375,100974.0125,280.307470703125,2.1961456298828126,138.0,105.0,136.0,19.0,50.0,10.0,1.27
Hengshui,0.9338785807291666,101111.17708333331,280.4392903645833,100825.8125,280.4124348958333,1.9333852132161455,79.0,58.0,84.0,6.0,34.0,13.0,1.45
Xingtai,0.8207637902462122,101108.30492424245,281.2662908380682,98598.03977272728,280.1629379734849,1.033708514589252,146.0,112.0,201.0,26.0,59.0,7.0,4.23
Handan,1.2293659078663792,101132.22629310343,282.25594356142244,97926.00215517242,280.2316136853448,0.9168159221780712,85.0,34.0,119.0,18.0,47.0,4.0,3.02
Taiyuan,1.2670155400815215,101308.21467391304,277.6556343410326,87432.70380434782,275.4773267663044,0.6137184474779211,227.0,177.0,311.0,182.0,88.0,4.0,3.34
Yangquan,2.8658970424107144,101171.63392857143,279.71798270089283,90039.66964285714,276.1943359375,0.9429473876953124,183.0,138.0,280.0,177.0,59.0,34.0,3.58
Changzhi,1.1428501674107143,101288.09821428572,280.33486328125,89017.16964285714,277.69893973214283,0.187925066266741,138.0,105.0,192.0,149.0,76.0,14.0,3.92
Jincheng,1.2015858525815215,101276.05163043478,282.32241423233694,90947.09510869563,278.78778872282606,-1.2466755742612092,220.0,170.0,322.0,279.0,67.0,14.0,11.68
Jinan,0.8311098160282258,101249.1995967742,283.1820028981855,99489.47379032258,281.3942162298387,3.442317347372732,94.0,70.0,122.0,26.0,61.0,24.0,1.65
Zibo,1.8315778459821428,101243.3125,283.9077613467262,99070.26488095238,281.29603794642856,2.687646048409598,100.0,75.0,101.0,37.0,40.0,34.0,1.45
Jining,0.422027587890625,101364.6640625,283.0722045898437,100430.75,281.19757080078125,3.698318481445313,64.0,46.0,57.0,17.0,23.0,38.0,0.9
Dezhou,1.4681678185096154,101151.8028846154,283.2980393629808,100829.50480769233,282.0731670673077,3.754808866060697,112.0,81.0,173.0,17.0,33.0,13.0,1.9
Liaocheng,0.3311179832175926,101190.82175925926,283.1680953414352,100701.3125,282.22099247685185,3.674067179361979,97.0,68.0,144.0,21.0,34.0,12.0,1.3
Binzhou,1.4516330295138888,101157.78472222222,283.8506040219908,100914.20138888888,281.91109664351853,2.528993394639757,160.0,122.0,179.0,85.0,67.0,10.0,2.57
Heze,1.570438269412879,101292.11553030302,283.9949248342803,100686.40340909093,281.7901870265151,3.6697466301195543,91.0,68.0,97.0,26.0,31.0,33.0,1.4
Zhengzhou,1.788818359375,101257.61458333331,284.21533203125,99001.85416666669,282.1241048177083,1.8340199788411455,101.0,76.0,135.0,29.0,69.0,7.0,2.4
Kaifeng,2.075950985863096,101285.52678571428,284.17701357886904,100471.78869047618,282.63169642857144,3.737264724004836,80.0,59.0,96.0,19.0,31.0,26.0,1.25
Anyang,1.183073624320652,101140.86684782608,283.81069548233694,98805.96467391304,281.48055366847825,1.5962677001953125,85.0,63.0,97.0,19.0,54.0,4.0,3.45
Hebi,1.096923828125,101124.84027777778,284.1491427951389,99217.97916666669,281.2126736111111,1.5067494710286458,118.0,85.0,186.0,39.0,64.0,11.0,3.77
Xinxiang,1.7663130326704546,101179.16477272728,284.49800248579544,98839.17613636365,281.6806640625,1.9593713933771304,114.0,86.0,137.0,29.0,63.0,7.0,1.85
Jiaozuo,1.8147623697916664,101216.1625,284.1338216145833,97699.44583333332,280.4243489583333,-0.1345265706380208,96.0,72.0,126.0,46.0,54.0,14.0,2.13
Puyang,0.7403700086805556,101198.72916666669,283.78412543402777,100595.3125,282.41807725694446,3.162022908528646,80.0,59.0,86.0,11.0,34.0,20.0,1.3
