,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,2.530945798184009,102359.49734042551,271.24015937967505,97024.72872340426,257.0397809617063,-3.5158464147689497,52.0,7.0,54.0,2.0,7.0,70.0,0.23
Tianjin,2.584425030332623,102164.5946969697,274.9237795743075,101844.17424242424,266.42628941391456,-4.825013131806345,130.0,99.0,117.0,13.0,55.0,28.0,1.4
Shijiazhuang,3.390816582573785,102403.61111111112,277.1850297715929,98256.16666666669,257.3190155029297,-3.2736646864149304,364.0,47.0,471.0,6.0,17.0,69.0,0.43
Tangshan,1.8315989176432288,102039.81944444444,274.1271413167317,100728.55555555556,267.0746578640408,-4.127126057942708,111.0,84.0,159.0,25.0,75.0,9.0,2.21
Langfang,1.2546295166015624,102250.8875,275.0089447021484,102030.85,264.5465545654297,-4.296624755859375,65.0,32.0,79.0,8.0,14.0,74.0,0.28
Baoding,2.678979726938101,102394.28365384616,273.7143308199369,97546.28846153848,260.15097163273737,-3.2345980130709133,119.0,90.0,167.0,12.0,79.0,12.0,1.28
Cangzhou,1.2168853759765623,102183.9375,275.68921813964846,102059.4,269.0037811279297,-3.970648193359375,189.0,142.0,244.0,14.0,89.0,7.0,1.8
Hengshui,1.6938629150390625,102227.8125,279.5310312906901,101933.375,262.781499226888,-3.9625345865885415,225.0,175.0,248.0,20.0,68.0,32.0,1.9
Xingtai,3.441728534120502,102258.57196969698,280.0847644227924,99622.93181818182,258.31638174346,-2.989401152639678,165.0,30.0,279.0,3.0,5.0,78.0,0.35
Handan,4.446098064554149,102275.65086206896,280.46824225063983,98922.78448275862,259.44714723784347,-1.3215742440059268,117.0,65.0,184.0,14.0,19.0,65.0,0.65
Taiyuan,5.554432081139606,102915.47282608696,269.6521639616593,88119.22826086957,254.35854505456007,-2.8833817191745923,463.0,58.0,563.0,3.0,8.0,74.0,0.3
Yangquan,5.621893746512277,102617.55357142857,272.07477896554127,90794.75,255.3497074672154,-2.7186671665736606,359.0,46.0,467.0,3.0,15.0,70.0,0.38
Changzhi,5.314276559012277,102630.04642857144,274.026564679827,89717.60714285714,256.4886862618583,-2.730092947823661,83.0,32.0,115.0,13.0,28.0,57.0,0.57
Jincheng,3.426375015922215,102553.34239130437,276.9222896410071,91763.22826086955,259.3932767121688,-2.647393268087636,81.0,39.0,111.0,16.0,35.0,51.0,1.1
Jinan,3.284246137065272,102097.92338709676,278.5729788503339,100283.5241935484,271.59601273075225,2.845855712890625,91.0,68.0,105.0,14.0,28.0,83.0,0.96
Zibo,4.560137794131324,102000.07738095238,278.22489057268416,99752.46428571428,269.176762898763,3.497222900390625,85.0,63.0,94.0,15.0,28.0,87.0,1.11
Jining,2.3571014404296875,102261.5234375,278.3513641357422,101300.75,273.07774353027344,3.2777099609375,136.0,104.0,126.0,8.0,35.0,57.0,1.32
Dezhou,3.14126939039964,102100.26923076923,280.2008843055138,101768.59615384616,270.18214651254505,-0.7543546236478366,139.0,106.0,160.0,12.0,30.0,59.0,1.23
Liaocheng,4.0742746988932295,102152.00462962964,280.7956164324725,101651.60185185184,269.6776309543186,1.256011962890625,136.0,104.0,136.0,10.0,27.0,54.0,1.0
Binzhou,4.020744606300637,101996.26388888888,279.1611401593244,101744.78703703704,270.9514301441334,-1.0684599699797457,81.0,60.0,106.0,23.0,41.0,58.0,1.1
Heze,3.2367391875295928,102310.70833333331,279.3017980402166,101687.7196969697,274.8756265351267,2.7436717640269888,129.0,98.0,124.0,7.0,26.0,54.0,1.03
Zhengzhou,3.036839803059896,102440.61458333331,279.99473571777344,100117.375,270.5988006591797,-0.026214599609375,114.0,86.0,157.0,13.0,67.0,38.0,1.1
Kaifeng,2.935370309012277,102391.73214285714,279.43638610839844,101556.36904761904,274.57538641066776,2.053584507533482,208.0,158.0,168.0,9.0,40.0,69.0,1.15
Anyang,3.4709996762483017,102299.38586956522,280.4710328475289,99872.14130434782,264.11304573390794,-0.4307237708050271,178.0,18.0,305.0,11.0,18.0,73.0,0.54
Hebi,2.711210462782118,102299.56944444444,280.01603020562067,100334.30555555556,265.4797142876519,-0.4079420301649306,90.0,67.0,124.0,13.0,39.0,55.0,0.7
Xinxiang,3.155965631658381,102347.05681818182,279.3909315629439,99916.93181818182,268.8317108154297,0.0875993208451704,135.0,103.0,175.0,17.0,67.0,29.0,1.2
Jiaozuo,2.6326080322265626,102441.75833333332,279.4620371500651,98792.08333333331,266.5284556070964,-0.9176859537760416,88.0,56.0,126.0,17.0,47.0,43.0,0.92
Puyang,4.068306816948785,102246.33333333331,280.4709998236762,101629.25,270.52105543348523,1.353234185112847,176.0,133.0,127.0,7.0,29.0,73.0,1.2
