,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.8906162343126665,101130.64361702128,285.922784034242,96140.8590425532,270.2544153091756,0.3949036293841423,66.0,20.0,82.0,3.0,27.0,37.0,0.3
Tianjin,3.5595458059599907,101208.14393939394,289.60873135653407,100905.17045454546,271.3357451467803,2.3808098995324336,63.0,24.0,76.0,9.0,36.0,45.0,0.66
Shijiazhuang,2.4523434109157987,101360.17361111112,288.948486328125,97442.51388888888,271.78700086805554,1.3181101481119792,85.0,26.0,119.0,11.0,33.0,45.0,0.5
Tangshan,4.150178697374132,101133.47916666669,288.4571126302083,99894.15277777778,270.66015625,0.6121097140842013,70.0,24.0,89.0,7.0,34.0,46.0,0.39
Langfang,2.6866912841796875,101224.0,289.689501953125,101015.325,270.828125,3.0244415283203123,54.0,18.0,57.0,8.0,30.0,52.0,0.25
Baoding,2.1369053767277646,101248.64903846152,287.2843487079327,96710.83653846152,272.0769230769231,0.9720376821664664,70.0,22.0,90.0,8.0,23.0,56.0,0.3
Cangzhou,2.509884643554688,101363.35,289.43369140625,101245.05,272.036767578125,3.5620880126953125,54.0,17.0,58.0,10.0,26.0,57.0,0.35
Hengshui,1.5378061930338542,101430.4375,289.7374674479167,101148.58333333331,272.6570638020833,3.349482218424479,77.0,16.0,104.0,14.0,35.0,37.0,0.35
Xingtai,1.7496499726266572,101465.15909090907,288.7832697088068,98946.5643939394,273.7667347301136,1.9041586211233428,66.0,22.0,82.0,10.0,35.0,39.0,0.8
Handan,1.9744909878434809,101547.78448275862,287.95390793372843,98332.69396551725,274.3095871497845,1.1491788666823817,77.0,25.0,103.0,27.0,40.0,30.0,1.0
Taiyuan,1.8523884648862088,101632.93478260867,282.6066469938859,87743.49456521739,266.6086319633152,0.9363555908203124,83.0,36.0,116.0,10.0,60.0,16.0,0.54
Yangquan,3.2542833600725447,101491.44642857143,285.9246303013393,90338.69642857143,267.06563895089283,1.3075190952845983,63.0,26.0,76.0,16.0,41.0,53.0,0.57
Changzhi,1.3134351457868303,101692.37142857142,284.30230887276787,89383.59642857143,268.6281947544643,0.2501669747488839,69.0,35.0,88.0,36.0,49.0,29.0,1.05
Jincheng,1.0131816034731658,101759.78260869563,285.45795473845106,91383.4945652174,270.94711701766306,-0.6278427787449049,85.0,25.0,120.0,9.0,61.0,19.0,1.46
Jinan,0.2256120251071068,101527.30645161292,288.9812799269153,99795.56048387096,276.35598853326616,2.4746620424332155,70.0,20.0,89.0,7.0,36.0,44.0,0.51
Zibo,0.9580594017392112,101508.05952380953,288.83050827752976,99365.52976190476,274.43822079613096,2.272153581891741,78.0,40.0,106.0,22.0,50.0,27.0,0.91
Jining,1.3451385498046875,101629.9609375,290.1229858398437,100709.5,282.1068725585937,1.5139007568359375,105.0,55.0,159.0,12.0,52.0,21.0,0.95
Dezhou,1.145037137545072,101469.77884615384,289.5254845252404,101152.54807692308,274.3649714543269,3.0430638239933896,83.0,28.0,116.0,6.0,27.0,52.0,0.57
Liaocheng,0.856088708948206,101542.05555555556,289.07482458043984,101059.81018518518,278.7087131076389,2.5182421648943865,100.0,36.0,150.0,24.0,55.0,22.0,0.66
Binzhou,1.888459947374132,101431.93518518518,289.13602249710647,101191.51388888888,273.605052806713,2.8379397922092013,77.0,33.0,104.0,30.0,40.0,31.0,1.03
Heze,2.350857358990293,101652.46212121211,290.0652891216856,101053.53409090907,281.44802024147725,0.2815556381687973,132.0,54.0,214.0,13.0,39.0,38.0,0.55
Zhengzhou,2.894739786783854,101704.5625,291.3623860677083,99455.70833333331,274.2211100260417,0.1434682210286458,77.0,31.0,104.0,12.0,63.0,23.0,0.65
Kaifeng,2.5142349969773066,101676.63095238096,290.73350306919644,100872.81547619047,275.79759579613096,-0.3363378615606399,82.0,34.0,114.0,8.0,64.0,16.0,0.62
Anyang,1.7142261007557744,101619.77173913045,288.4680600373641,99276.10326086955,275.1262100883152,0.3309717592985733,117.0,55.0,183.0,31.0,53.0,18.0,2.24
Hebi,1.4192759195963542,101622.61111111112,288.5709906684028,99713.29166666669,275.40272352430554,-0.0691782633463541,105.0,48.0,159.0,32.0,50.0,22.0,1.96
Xinxiang,2.012019764293324,101653.5,289.5117853338068,99306.21590909093,274.34725674715907,-0.7574032870205966,80.0,37.0,109.0,19.0,45.0,21.0,0.8
Jiaozuo,2.1347056070963544,101714.41666666669,288.9617024739583,98184.825,274.2431315104167,-0.4584360758463541,71.0,37.0,91.0,24.0,41.0,35.0,0.8
Puyang,1.5750918918185763,101611.06944444444,288.8344455295139,101014.68055555556,278.69276258680554,0.9526858859592012,103.0,64.0,155.0,32.0,53.0,17.0,1.1
