,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,2.3999698720079787,102410.31914893616,266.6422291207821,97001.52925531915,253.99772416784407,-1.53695905969498,44.0,24.0,44.0,4.0,17.0,65.0,0.65
Tianjin,-0.9964118726325758,102474.24242424245,268.4089295358369,102147.0946969697,258.2197570800781,0.0359853108723958,55.0,39.0,40.0,16.0,22.0,57.0,0.99
Shijiazhuang,-2.0767144097222223,102349.5,269.1436547173394,98127.68055555556,265.2660895453559,-0.3494313557942708,114.0,86.0,116.0,18.0,37.0,26.0,1.46
Tangshan,-0.5365397135416666,102457.51388888888,267.2479841444228,101114.125,254.398196750217,-1.0888790554470489,54.0,36.0,57.0,36.0,30.0,59.0,1.85
Langfang,-0.689404296875,102457.8125,269.3013153076172,102232.625,259.95725708007814,0.0216949462890625,69.0,50.0,79.0,28.0,33.0,47.0,1.83
Baoding,-0.930870643028846,102392.52403846152,267.7142134446364,97490.22115384616,262.0286888709435,0.6178600604717548,95.0,71.0,99.0,50.0,47.0,51.0,2.0
Cangzhou,-3.140185546875,102450.3125,268.7507781982422,102322.4,262.9173156738281,-1.2627532958984375,52.0,32.0,53.0,30.0,24.0,63.0,0.43
Hengshui,-3.043416341145833,102390.38541666669,270.1447397867839,102087.16666666669,265.3383280436198,-1.5656992594401042,73.0,53.0,59.0,13.0,19.0,49.0,0.6
Xingtai,-2.3566154711174243,102288.21212121211,270.6198078502308,99602.03409090907,266.6371339740175,-1.824070323597301,129.0,98.0,126.0,18.0,38.0,28.0,1.4
Handan,-1.803702518857759,102185.18103448275,271.9331344078327,98784.22844827586,267.50989716628504,-2.0105080440126617,134.0,102.0,164.0,20.0,37.0,17.0,1.27
Taiyuan,6.278309697690218,101817.19565217392,271.80486065408456,87334.21195652174,259.6365369713825,-2.232894897460937,67.0,22.0,83.0,14.0,11.0,92.0,0.52
Yangquan,1.5255650111607142,102009.5,269.10230582101,90235.625,262.48900931222096,-1.8272029331752235,176.0,133.0,179.0,10.0,48.0,20.0,1.7
Changzhi,4.772788783482143,101675.8,274.8201629638672,88989.95357142857,264.62639770507815,-1.401198468889509,105.0,72.0,160.0,45.0,29.0,86.0,1.1
Jincheng,2.8159285835597827,101757.42391304349,276.5663246486498,91066.29891304349,267.87295001486075,0.6870269775390625,390.0,340.0,383.0,33.0,54.0,40.0,3.08
Jinan,-2.385340536794355,102243.43548387096,270.62608534289944,100383.60887096774,266.6349536526588,-3.252111127299647,63.0,45.0,57.0,16.0,29.0,42.0,0.7
Zibo,-2.366478329613096,102264.13095238096,269.1303006126767,99954.36309523808,265.46529279436385,-3.680951073056176,50.0,35.0,44.0,14.0,20.0,49.0,1.0
Jining,0.274810791015625,102062.1796875,275.5957489013672,101092.53125,270.0745544433594,-3.7094573974609375,115.0,87.0,122.0,14.0,23.0,39.0,1.0
Dezhou,-3.2474646935096154,102345.28846153848,270.1480325552133,102002.77884615384,265.8143334021935,-2.5612828181340146,71.0,26.0,91.0,16.0,15.0,53.0,1.03
Liaocheng,-1.9763545283564807,102242.64814814816,272.4055362277561,101726.60648148147,268.20174492730035,-3.3441506844979747,73.0,53.0,65.0,10.0,17.0,46.0,0.75
Binzhou,-3.515308521412037,102382.62962962964,268.7633921305339,102121.82870370372,264.44856205693,-3.2073595965350115,50.0,29.0,50.0,14.0,14.0,49.0,0.5
Heze,-0.2843794389204545,102105.75757575755,275.405141657049,101472.48863636365,269.6803986520478,-3.2978511001124526,138.0,105.0,178.0,5.0,27.0,33.0,1.77
Zhengzhou,-1.8062744140625,102113.51041666669,274.0037892659505,99728.79166666669,268.67491658528644,-0.5534108479817709,191.0,144.0,190.0,16.0,40.0,29.0,1.75
Kaifeng,-1.123965308779762,102128.46428571428,274.5588720412481,101273.45833333331,269.10191853841144,-2.404118855794271,177.0,134.0,149.0,17.0,28.0,46.0,1.6
Anyang,-1.8768788213315213,102178.04347826086,273.34740481169325,99689.69021739133,268.1859595257303,-2.430882329526155,161.0,123.0,216.0,13.0,36.0,25.0,1.37
Hebi,-2.547932942708333,102197.63888888888,273.4244164360894,100149.56944444444,267.8783942328559,-2.272933959960937,116.0,88.0,152.0,21.0,41.0,28.0,1.55
Xinxiang,-1.7589000355113635,102126.125,274.13312461159444,99650.21590909093,268.3421825062145,-1.1301338889382102,138.0,105.0,167.0,16.0,62.0,28.0,1.65
Jiaozuo,-1.6946126302083333,102066.11666666668,274.4615692138672,98349.125,268.84592895507814,1.096271769205729,174.0,132.0,225.0,17.0,53.0,14.0,2.55
Puyang,-0.9840223524305556,102187.04166666669,273.90477667914496,101552.29166666669,269.01326836480035,-3.63724602593316,106.0,80.0,100.0,10.0,26.0,32.0,1.3
