,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-1.0905164353390957,101080.53324468085,289.38448512300533,96169.11436170212,283.7761282413564,0.3680640687333776,69.0,50.0,72.0,3.0,34.0,101.0,0.63
Tianjin,-2.7053629557291665,101039.30113636365,291.58343690814394,100740.77651515152,286.32914595170456,1.031865900213068,86.0,64.0,86.0,12.0,39.0,99.0,1.51
Shijiazhuang,0.3702392578125,100939.46527777778,290.11474609375,97075.06944444444,284.4211697048611,0.3158976236979167,52.0,20.0,53.0,11.0,72.0,32.0,0.63
Tangshan,-2.1857231987847223,101125.72222222222,288.43999565972223,99902.125,284.2146267361111,0.03106689453125,114.0,86.0,130.0,39.0,56.0,71.0,1.57
Langfang,-2.4977783203125,100996.025,292.755859375,100791.075,286.28212890625,1.18609619140625,94.0,70.0,125.0,11.0,42.0,62.0,1.05
Baoding,-0.3625957782451923,100985.16826923077,289.9652569110577,96502.58653846152,283.4781024639423,-0.07269287109375,60.0,32.0,70.0,16.0,39.0,85.0,0.55
Cangzhou,-2.0772216796875,100966.8875,292.1810546875,100851.3,285.818408203125,1.84010009765625,121.0,92.0,142.0,24.0,48.0,85.0,0.9
Hengshui,-0.8651936848958334,100938.34375,292.1018880208333,100664.0,283.9154459635417,2.05499267578125,60.0,35.0,70.0,15.0,46.0,77.0,0.8
Xingtai,0.4644109552556818,100941.52840909093,290.7146513967803,98458.44318181818,284.3785659327651,1.4067179361979167,73.0,32.0,96.0,16.0,77.0,39.0,1.3
Handan,1.0831719760237069,100966.0150862069,290.0242962015086,97795.65948275862,285.0029128502155,1.183477993669181,82.0,41.0,113.0,18.0,77.0,16.0,0.75
Taiyuan,-0.2525634765625,101041.53532608696,286.1302861752717,87373.53804347826,278.41684358016306,0.79766845703125,69.0,26.0,87.0,9.0,70.0,28.0,0.56
Yangquan,0.5359409877232143,101028.09821428572,285.65966796875,90039.05357142857,282.47328404017856,0.6240495954241071,64.0,31.0,78.0,19.0,73.0,49.0,0.88
Changzhi,0.7761753627232143,101111.66607142855,286.32361886160714,88986.31071428572,279.9781110491072,2.006150599888393,45.0,20.0,45.0,8.0,27.0,91.0,0.68
Jincheng,-0.1494299847146739,101099.69836956522,288.8644913383152,90886.625,280.5218877377717,1.3245026961616848,101.0,38.0,151.0,14.0,97.0,11.0,0.98
Jinan,-0.655852287046371,101048.01008064517,290.13812058971774,99345.0120967742,285.8287392893145,1.94415283203125,87.0,54.0,124.0,10.0,95.0,36.0,0.83
Zibo,-0.0096784319196428,101060.31845238096,290.1908249627976,98949.76785714286,285.38106863839283,1.816641671316964,89.0,65.0,128.0,41.0,93.0,30.0,1.12
Jining,0.118988037109375,101074.7265625,290.85711669921875,100172.46875,287.30621337890625,2.206207275390625,81.0,50.0,111.0,13.0,31.0,73.0,0.8
Dezhou,-0.9061842698317308,100986.64903846152,291.0837965745192,100675.35576923077,285.39306640625,1.9064424954927883,96.0,72.0,129.0,10.0,33.0,138.0,0.8
Liaocheng,0.188770435474537,100988.81712962964,292.1582212094908,100515.92129629628,286.11470992476853,2.5707804361979165,94.0,70.0,108.0,22.0,30.0,107.0,0.65
Binzhou,-1.3982521339699074,101002.02083333331,291.0039966724537,100765.69907407407,286.4709020543981,1.5454621491608795,103.0,77.0,111.0,16.0,53.0,50.0,1.13
Heze,0.9126531427556818,101030.71022727272,292.184111624053,100443.41287878789,285.71781782670456,2.361884839607008,59.0,29.0,67.0,21.0,26.0,82.0,0.53
Zhengzhou,0.3669840494791667,101000.26041666669,292.68798828125,98786.45833333331,286.2351888020833,1.9836222330729167,63.0,24.0,75.0,11.0,48.0,66.0,0.57
Kaifeng,0.7713390531994048,101016.83035714286,292.9530087425595,100226.52976190476,286.30629185267856,2.5011189778645835,60.0,30.0,69.0,9.0,27.0,80.0,0.4
Anyang,1.4134096891983696,100974.9375,291.5114852241848,98667.97282608696,284.92074983016306,1.743193253226902,75.0,38.0,99.0,10.0,66.0,38.0,0.67
Hebi,1.7683783637152777,100967.99305555556,291.6629231770833,99088.40277777778,284.7331271701389,1.5725165473090277,63.0,22.0,75.0,14.0,43.0,62.0,0.25
Xinxiang,1.2123246626420454,101004.13068181818,292.62788529829544,98691.44318181818,284.68949751420456,1.5195700905539773,55.0,24.0,59.0,18.0,50.0,49.0,0.65
Jiaozuo,0.0818766276041666,100987.8375,292.24521484375,97516.55833333332,283.95335286458334,0.0272908528645833,67.0,33.0,83.0,13.0,40.0,73.0,0.77
Puyang,1.0271131727430556,100992.04861111112,293.10649956597223,100406.625,286.0104709201389,2.779059516059028,55.0,19.0,59.0,9.0,33.0,55.0,0.67
