,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-0.1484959379155585,101290.03457446808,290.58681017287233,96364.99335106384,289.2997942985372,-0.8179266097697806,21.0,14.0,21.0,3.0,13.0,40.0,0.45
Tianjin,-2.336031827059659,101195.4356060606,292.76828835227275,100896.58522727272,291.00643643465907,-0.1777366869377367,24.0,17.0,23.0,5.0,10.0,57.0,0.6
Shijiazhuang,0.2139824761284722,101191.27777777778,290.86707899305554,97295.64583333331,290.1833767361111,-0.6787601047092013,27.0,17.0,27.0,4.0,14.0,36.0,0.49
Tangshan,-1.9828219943576388,101233.27083333331,292.0393880208333,100010.28472222222,290.06103515625,-0.1982913547092014,19.0,13.0,17.0,4.0,17.0,58.0,0.59
Langfang,-1.77425537109375,101179.075,292.790234375,100973.9625,291.562109375,-0.7350372314453125,23.0,10.0,23.0,6.0,25.0,40.0,0.53
Baoding,-0.7559110201322116,101202.6778846154,290.775390625,96699.71634615384,289.8300030048077,-1.026330801156851,21.0,9.0,21.0,5.0,14.0,46.0,0.36
Cangzhou,-2.71312255859375,101107.85,292.953515625,100991.7125,291.999462890625,-0.5980499267578125,32.0,17.0,32.0,6.0,16.0,31.0,0.57
Hengshui,-0.88201904296875,101069.63541666669,292.623779296875,100792.85416666669,292.0327962239583,-1.6442006429036458,29.0,15.0,29.0,5.0,15.0,25.0,0.53
Xingtai,0.1434899532433712,101117.375,291.64103929924244,98614.00946969698,290.92866654829544,-1.7308557683771306,41.0,29.0,41.0,6.0,13.0,38.0,0.57
Handan,-0.1754929115032327,101118.55603448275,291.80044450431035,97925.89870689657,290.74701980064657,-1.6040802001953125,47.0,33.0,44.0,6.0,12.0,42.0,0.73
Taiyuan,-0.2472958772078804,101256.2445652174,287.7060122282609,87537.26902173914,287.4551842730978,-0.3903403904127038,50.0,35.0,49.0,4.0,33.0,18.0,0.85
Yangquan,-0.3855067661830357,101293.58928571428,287.8039899553572,90229.66964285714,287.76583426339283,0.1270860944475446,68.0,49.0,60.0,10.0,24.0,48.0,1.07
Changzhi,-0.51209716796875,101170.175,289.38046875,89014.22678571429,289.30966796875,0.7702222551618304,30.0,21.0,30.0,8.0,15.0,35.0,1.32
Jincheng,-0.5041318147078805,101138.2554347826,290.3388247282609,90896.1820652174,290.0778914741848,0.8626317563264266,30.0,19.0,30.0,5.0,7.0,81.0,0.66
Jinan,-1.430815665952621,101045.70564516127,293.60093245967744,99338.60282258064,293.3122007308468,-0.2289856941469254,40.0,23.0,40.0,4.0,21.0,24.0,0.66
Zibo,-2.0359438941592263,101086.79166666669,293.88253348214283,98970.83630952382,293.69398716517856,0.3424413771856399,40.0,28.0,38.0,12.0,31.0,21.0,0.66
Jining,-1.9007568359375,100958.765625,294.82958984375,100056.71875,293.68994140625,-1.2737579345703125,29.0,20.0,29.0,9.0,16.0,31.0,0.92
Dezhou,-1.3115187424879808,101047.90384615384,292.8782301682692,100734.8125,292.6184269831731,-0.8996781569260818,38.0,24.0,38.0,4.0,15.0,24.0,0.53
Liaocheng,-0.38104248046875,101037.99537037036,293.05555555555554,100562.49768518518,292.0090603298611,-1.7889398645471644,34.0,18.0,34.0,4.0,11.0,34.0,0.56
Binzhou,-2.960216380931713,101101.7824074074,293.20543981481484,100864.01620370372,292.61178023726853,0.306039880823206,46.0,32.0,38.0,9.0,15.0,37.0,0.55
Heze,-1.435138124408144,100969.19318181818,294.7146070075757,100380.55492424245,292.0534298058712,-2.431287823301373,46.0,32.0,42.0,6.0,16.0,35.0,0.47
Zhengzhou,-1.3835652669270833,101000.96875,294.0958658854167,98775.47916666669,291.6009114583333,-1.5212351481119792,25.0,17.0,25.0,5.0,7.0,63.0,0.58
Kaifeng,-1.871788388206845,100960.42261904762,294.8407738095238,100167.97916666669,291.82456752232144,-2.707177298409598,37.0,24.0,37.0,6.0,11.0,42.0,0.57
Anyang,-0.3113244098165761,101086.38586956522,292.8811141304348,98762.61684782608,290.8011421535326,-2.1439494257387905,34.0,24.0,33.0,6.0,13.0,55.0,0.38
Hebi,-0.41815185546875,101079.79166666669,293.271484375,99184.53472222222,290.82524956597223,-2.516298082139757,42.0,26.0,42.0,11.0,16.0,49.0,0.7
Xinxiang,-1.3913407759232954,101039.43181818182,293.45010653409093,98716.85795454546,290.95893998579544,-2.00469277121804,41.0,27.0,41.0,8.0,16.0,61.0,0.54
Jiaozuo,-1.3317586263020833,101041.04166666669,293.28541666666666,97552.1125,291.2918294270833,-0.3163848876953125,52.0,36.0,54.0,6.0,20.0,35.0,1.08
Puyang,-0.7207234700520834,101032.56944444444,293.7496744791667,100444.92361111112,291.3385959201389,-2.172114054361979,53.0,37.0,38.0,7.0,9.0,39.0,0.65
