,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,4.10936948086353,100825.81382978724,287.8984478889628,95864.0425531915,265.3554846580992,-1.4864625322057845,65.0,15.0,79.0,2.0,11.0,90.0,0.19
Tianjin,4.640936186819365,100909.59848484848,291.2457830255682,100610.48484848483,266.08552273837,1.177319150982481,69.0,19.0,88.0,5.0,11.0,103.0,0.35
Shijiazhuang,5.682957967122396,101005.09722222222,292.63335503472223,97110.41666666669,265.58624776204425,-0.2149285210503472,69.0,16.0,88.0,7.0,16.0,92.0,0.39
Tangshan,3.811592949761285,100938.09722222222,288.267578125,99710.86111111112,266.1444617377387,2.3406270345052085,78.0,21.0,105.0,3.0,9.0,99.0,0.28
Langfang,5.056753540039063,100890.4125,292.53134765625,100685.65,266.1129730224609,1.063299560546875,69.0,24.0,87.0,4.0,12.0,100.0,0.27
Baoding,5.523208618164063,100898.9903846154,290.61714993990387,96377.57692307692,265.41754033015326,-0.1445993276742788,71.0,12.0,92.0,10.0,14.0,98.0,0.43
Cangzhou,5.816860961914062,101024.975,292.552490234375,100908.6,267.16932067871096,2.532391357421875,63.0,22.0,75.0,10.0,13.0,103.0,0.48
Hengshui,5.2994537353515625,101105.14583333331,293.6337076822917,100827.95833333331,266.9930674235026,2.6165059407552085,61.0,18.0,71.0,6.0,16.0,103.0,0.37
Xingtai,4.098677664092093,101164.89393939394,293.1892607717803,98656.33333333331,267.4102149732185,2.118399880149148,59.0,21.0,68.0,8.0,18.0,89.0,0.68
Handan,3.726375711375269,101271.83620689657,292.52449824892244,98067.75862068964,268.89507162159885,2.1870653875942887,62.0,28.0,74.0,12.0,11.0,87.0,0.54
Taiyuan,8.180976535962975,101302.08695652174,285.6820015285326,87453.13043478261,260.1603745170261,-3.2736803137737773,62.0,14.0,74.0,5.0,12.0,101.0,0.28
Yangquan,8.270104544503349,101094.08928571428,287.59409877232144,90004.64285714286,261.84366498674666,-2.1585824148995534,104.0,21.0,157.0,6.0,17.0,101.0,0.35
Changzhi,5.655818830217634,101429.63571428572,286.93494698660714,89137.0,263.22067391531806,-1.8052481515066965,53.0,19.0,56.0,10.0,13.0,87.0,0.45
Jincheng,4.462948343028193,101556.15217391304,287.8157481317935,91175.56521739133,265.794121120287,-2.466954770295516,46.0,8.0,46.0,3.0,13.0,96.0,0.42
Jinan,4.2514328495148686,101333.87903225806,290.12192855342744,99602.7741935484,271.87030669181576,2.5777164582283265,87.0,27.0,124.0,11.0,10.0,103.0,0.54
Zibo,4.299726940336681,101305.73809523808,289.94956752232144,99162.80952380953,268.3704507010324,1.437562488374256,64.0,18.0,78.0,6.0,12.0,99.0,0.37
Jining,3.0240020751953125,101528.8984375,289.83612060546875,100611.1875,273.96372985839844,1.345458984375,79.0,26.0,108.0,9.0,14.0,102.0,0.55
Dezhou,4.762109609750601,101194.76923076923,292.0841721754808,100878.96153846152,270.87179213303784,3.696709266075721,77.0,33.0,103.0,11.0,16.0,97.0,0.65
Liaocheng,3.6987276430483216,101336.74074074074,292.1106951678241,100857.37037037036,273.705334133572,3.467417399088541,86.0,31.0,121.0,11.0,14.0,106.0,0.6
Binzhou,4.99824297869647,101152.48148148147,291.30463324652777,100912.4074074074,270.0646367956091,3.395007098162616,72.0,24.0,93.0,9.0,9.0,99.0,0.7
Heze,2.8928301262133047,101543.52272727272,291.22944779829544,100947.18181818182,276.32125900730944,2.0775322191642998,85.0,33.0,120.0,8.0,13.0,108.0,0.47
Zhengzhou,3.801488240559896,101563.75,292.2484537760417,99316.08333333331,271.6271006266276,-0.1042378743489583,85.0,23.0,120.0,9.0,16.0,84.0,0.47
Kaifeng,3.109064737955729,101564.26190476192,292.1539946056548,100762.80952380953,277.5225154331752,1.6875159853980657,94.0,40.0,138.0,12.0,17.0,90.0,0.5
Anyang,2.7636022153108017,101383.22826086955,292.5765327785326,99047.08695652174,272.821464870287,2.382951819378397,80.0,40.0,110.0,10.0,21.0,87.0,0.5
Hebi,2.081178453233507,101394.83333333331,293.0481228298611,99491.33333333331,273.7124955919054,2.8215840657552085,90.0,56.0,130.0,10.0,28.0,86.0,0.93
Xinxiang,3.2165901877663354,101463.45454545454,292.3825017755682,99120.86363636365,273.33641052246094,1.7451310591264204,88.0,39.0,126.0,15.0,16.0,78.0,0.57
Jiaozuo,4.066877237955729,101515.68333333332,292.4650065104167,97992.46666666666,269.45750427246094,-0.3868794759114583,61.0,17.0,72.0,6.0,12.0,81.0,0.33
Puyang,3.22896491156684,101425.79166666669,292.2355143229167,100832.77777777778,276.406506008572,3.1545918782552085,71.0,37.0,91.0,8.0,12.0,106.0,0.5
