,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.1582440315408909,100518.88031914894,302.24232775099733,95728.40824468085,286.73416722074467,2.6549760534408247,118.0,68.0,184.0,16.0,26.0,236.0,0.74
Tianjin,-0.3844539757930871,100534.52651515152,302.6816776160038,100244.17613636365,289.85162168560606,2.883295232599432,107.0,47.0,116.0,9.0,36.0,213.0,0.73
Shijiazhuang,-0.4945441351996528,100587.70833333331,301.4906955295139,96781.34027777778,289.60454644097223,1.7387220594618056,113.0,85.0,164.0,27.0,26.0,183.0,1.01
Tangshan,-0.1976962619357639,100600.69444444444,300.15318467881946,99410.39583333331,289.44471571180554,3.473178439670139,117.0,64.0,137.0,35.0,39.0,233.0,1.02
Langfang,0.289385986328125,100498.075,304.589794921875,100298.8625,289.17294921875,2.80230712890625,114.0,54.0,114.0,11.0,28.0,228.0,0.88
Baoding,-0.2052166278545673,100601.45192307692,301.719482421875,96196.38942307692,289.10464242788464,2.522822453425481,104.0,58.0,122.0,15.0,24.0,207.0,0.72
Cangzhou,0.320513916015625,100589.79375,303.098046875,100476.1125,291.336474609375,2.65633544921875,111.0,61.0,103.0,21.0,30.0,222.0,0.87
Hengshui,-0.5428568522135416,100581.47916666669,303.2613118489583,100310.97916666669,292.408203125,2.65704345703125,123.0,76.0,195.0,14.0,27.0,183.0,1.0
Xingtai,-0.2219007087476325,100578.73863636365,302.3223026160038,98133.8731060606,286.7497632575757,2.7389415394176138,117.0,84.0,183.0,51.0,43.0,199.0,0.82
Handan,0.3963970315867456,100637.74568965516,301.92855098329744,97517.57112068964,284.7206357758621,3.258050326643319,113.0,70.0,162.0,21.0,24.0,225.0,0.73
Taiyuan,0.420143459154212,100763.96195652174,297.1116996433424,87320.37771739131,277.8134341032609,1.8093235181725544,79.0,30.0,107.0,15.0,31.0,139.0,0.66
Yangquan,-1.159637451171875,100762.66071428572,297.03609793526783,89945.8125,285.63002232142856,0.8462873186383929,89.0,31.0,108.0,5.0,14.0,191.0,0.8
Changzhi,1.018208530970982,100891.825,296.23620954241073,88923.46964285715,278.67511160714287,2.54893798828125,58.0,21.0,65.0,9.0,18.0,151.0,0.5
Jincheng,-0.1975110924762228,100895.42934782608,297.1826914911685,90798.9429347826,279.1414741847826,2.56866455078125,79.0,18.0,82.0,29.0,24.0,183.0,0.6
Jinan,0.457550048828125,100804.13306451614,301.1196052797379,99120.8125,290.7047631048387,3.032468734248992,104.0,50.0,121.0,15.0,20.0,208.0,0.71
Zibo,0.5425574893043155,100846.98214285714,301.1193382626488,98760.38392857143,289.02036830357144,2.990446544828869,91.0,58.0,126.0,26.0,24.0,193.0,1.28
Jining,0.175689697265625,100892.09375,300.8311767578125,100001.15625,290.14654541015625,2.893951416015625,73.0,34.0,95.0,10.0,19.0,166.0,0.7
Dezhou,0.3060326209435096,100666.59615384616,302.41250375600964,100359.12019230767,292.1923076923077,2.959026630108173,122.0,70.0,176.0,21.0,22.0,244.0,1.33
Liaocheng,-0.143867775245949,100676.0324074074,302.36992730034723,100210.03472222222,291.4450231481481,3.683681911892361,80.0,50.0,109.0,9.0,15.0,156.0,0.7
Binzhou,0.796417236328125,100683.375,302.7563566984954,100450.25694444444,290.3961950231481,2.442868833188657,75.0,53.0,99.0,20.0,32.0,177.0,1.17
Heze,0.6256371700402462,100840.8143939394,300.9803873697917,100261.17613636365,289.48248106060606,3.194522742069129,75.0,52.0,99.0,14.0,26.0,146.0,0.77
Zhengzhou,-0.0294291178385416,100810.85416666669,301.36962890625,98618.6875,284.6163736979167,2.8387247721354165,80.0,45.0,109.0,17.0,40.0,134.0,0.69
Kaifeng,0.8660786946614584,100846.375,301.20601981026783,100065.86011904762,287.1645275297619,3.3103405180431547,76.0,28.0,101.0,8.0,17.0,158.0,0.5
Anyang,0.7321339482846467,100697.90760869563,302.1355617357337,98423.07336956522,285.03643002717394,3.783593219259511,116.0,40.0,135.0,23.0,31.0,231.0,1.25
Hebi,0.9950934516059028,100699.29166666669,302.86754014756946,98847.25694444444,283.951171875,3.957227918836805,76.0,41.0,101.0,34.0,24.0,178.0,0.7
Xinxiang,0.9488941539417614,100775.05681818182,301.94449129971593,98491.67613636365,283.810546875,3.5309337269176138,66.0,29.0,82.0,19.0,48.0,159.0,0.6
Jiaozuo,-0.1763041178385416,100772.05833333332,301.932470703125,97340.2125,281.26770833333336,2.562935384114583,64.0,31.0,78.0,17.0,31.0,125.0,0.63
Puyang,0.4099697536892361,100712.70833333331,302.13490125868054,100136.75694444444,289.3508029513889,3.851704915364584,73.0,31.0,95.0,10.0,26.0,160.0,1.02
