,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.029116042116855,102931.55585106384,273.9607245262633,97647.1675531915,264.3166072114985,0.1171358798412566,85.0,63.0,57.0,4.0,34.0,29.0,0.84
Tianjin,-0.0100333473899147,102948.04924242424,276.58026308001894,102626.0643939394,268.8261297977332,0.0873057047526041,62.0,42.0,73.0,14.0,40.0,30.0,1.11
Shijiazhuang,-0.7882944742838541,102918.90972222222,275.1192220052083,98759.06944444444,263.96188184950086,-0.1271853976779514,86.0,64.0,97.0,12.0,43.0,28.0,0.85
Tangshan,1.6364830864800348,102938.83333333331,276.22637261284723,101622.45833333331,267.8930884467231,0.8963334825303819,48.0,27.0,48.0,11.0,25.0,53.0,1.06
Langfang,-0.3201141357421875,102960.275,276.401806640625,102738.775,268.3391387939453,-1.0385894775390625,58.0,39.0,65.0,10.0,34.0,36.0,0.95
Baoding,-0.5592404879056491,102912.99519230767,274.7251539963942,98106.79807692308,263.7649125319261,-0.1083385760967548,66.0,48.0,69.0,12.0,46.0,32.0,0.87
Cangzhou,0.1333770751953125,102928.2125,276.87880859375,102802.825,268.4117950439453,-0.4464752197265625,84.0,62.0,84.0,15.0,49.0,16.0,0.7
Hengshui,0.3928985595703125,102949.82291666669,276.6017252604167,102650.875,267.363764444987,-1.2182769775390625,73.0,53.0,60.0,16.0,35.0,29.0,0.57
Xingtai,-0.276664502692945,102937.14772727272,276.2051447088068,100261.94318181818,266.4504787560665,-0.7038874770655776,111.0,84.0,123.0,26.0,65.0,17.0,1.13
Handan,-0.4851447795999461,102935.93534482758,276.42265793372843,99520.9525862069,268.64117273791084,-0.462139787345097,111.0,84.0,119.0,15.0,60.0,15.0,1.12
Taiyuan,0.021587205969769,102608.58152173914,274.3438243036685,88125.51630434782,261.8904465385105,0.5951465109120244,115.0,87.0,138.0,29.0,52.0,29.0,1.74
Yangquan,-0.4800262451171875,102745.83928571428,273.79446847098217,91020.91071428572,261.5487649100168,0.2722712925502232,109.0,82.0,116.0,32.0,60.0,24.0,1.53
Changzhi,-0.0384525844029017,102748.98928571428,273.832666015625,89815.41071428571,267.23417227608815,1.3409794398716517,157.0,120.0,133.0,14.0,42.0,28.0,2.33
Jincheng,-0.5733091934867527,102883.36413043478,272.9653426460598,91896.51630434782,269.10129912003225,1.8629793913468071,120.0,91.0,95.0,7.0,25.0,70.0,1.34
Jinan,0.258727535124748,102888.3508064516,277.20538526965726,101050.15725806452,271.8273192374937,-0.0872049639301915,138.0,105.0,160.0,22.0,62.0,27.0,1.25
Zibo,-0.456449236188616,102883.99404761904,276.6385439918155,100601.69642857143,269.6327027820405,0.5369894845145089,43.0,27.0,43.0,10.0,27.0,56.0,0.56
Jining,-1.6886138916015625,102887.171875,276.3984375,101911.1875,273.65858459472656,-0.5095977783203125,31.0,22.0,28.0,8.0,19.0,52.0,0.52
Dezhou,1.0702291635366588,102910.29807692308,278.1085674579327,102573.20192307692,270.3936309814453,-0.310918954702524,81.0,60.0,100.0,23.0,39.0,31.0,0.84
Liaocheng,0.586416173864294,102935.89351851853,277.35072157118054,102423.38425925926,272.19495476616754,-0.6107556378399884,203.0,153.0,199.0,16.0,43.0,37.0,1.27
Binzhou,0.0265565095124421,102891.41203703704,277.70951786747685,102635.86574074074,269.7968789559823,1.1204726607711226,63.0,40.0,75.0,27.0,36.0,37.0,0.92
Heze,-1.328037608753551,102918.86742424245,275.48390891335225,102280.79166666669,274.2641032825817,-1.101969863429214,174.0,132.0,142.0,6.0,45.0,16.0,1.27
Zhengzhou,-1.1255340576171875,102962.38541666669,274.7813313802083,100556.70833333331,272.877436319987,-1.3006744384765625,186.0,140.0,142.0,9.0,46.0,17.0,1.78
Kaifeng,-1.3974369594029017,102928.74404761904,275.228759765625,102069.79166666669,274.1054520379929,-1.971892583937872,181.0,137.0,127.0,6.0,36.0,26.0,1.4
Anyang,-0.6725364353345789,102964.01630434782,275.91617484714675,100463.60326086955,270.9233099895975,-0.9356364374575408,113.0,85.0,105.0,14.0,52.0,20.0,1.4
Hebi,-0.8932206895616319,102977.43055555556,276.0104437934028,100931.56944444444,271.1361440022786,-0.9716135660807292,126.0,96.0,120.0,16.0,47.0,18.0,1.78
Xinxiang,-1.119719071821733,102964.0,275.30537553267044,100459.71590909093,272.1021714643999,-0.9788638028231534,149.0,114.0,141.0,10.0,50.0,12.0,1.9
Jiaozuo,-1.2626434326171876,102971.875,275.1077962239584,99207.65833333334,271.82715962727866,0.2946624755859375,167.0,127.0,145.0,9.0,41.0,13.0,1.75
Puyang,-0.2754364013671875,102954.79166666669,276.1151529947917,102319.23611111112,272.82516309950086,-1.0515289306640625,176.0,133.0,122.0,10.0,48.0,20.0,1.4
