,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.6991739475980718,102661.4069148936,280.42638380984044,97479.68617021276,257.35574535613364,-3.1815711488115026,65.0,10.0,79.0,2.0,8.0,58.0,0.21
Tianjin,2.24131913618608,102579.97348484848,284.2175366950757,102267.53787878789,258.88008071437025,-3.979901862866951,58.0,10.0,66.0,5.0,17.0,59.0,0.35
Shijiazhuang,0.1102328830295139,102558.59027777778,285.44981553819446,98540.30555555556,266.32017008463544,-1.8330179850260415,43.0,14.0,43.0,6.0,18.0,56.0,0.24
Tangshan,2.7961324055989585,102518.35416666669,282.4197048611111,101237.25,258.45743136935766,-3.713958740234375,42.0,17.0,42.0,5.0,13.0,58.0,0.2
Langfang,0.740631103515625,102593.1875,284.5154296875,102379.6,259.3987182617187,-3.065716552734375,68.0,14.0,86.0,5.0,13.0,59.0,0.25
Baoding,0.548492431640625,102568.67307692308,283.8451397235577,97887.3846153846,262.00333815354566,-1.84149404672476,36.0,11.0,36.0,5.0,14.0,62.0,0.28
Cangzhou,0.652081298828125,102575.875,285.299560546875,102455.5,262.4447631835937,-3.036004638671875,64.0,13.0,78.0,5.0,17.0,58.0,0.35
Hengshui,0.3393046061197917,102574.5,285.9270833333333,102288.875,265.13690185546875,-2.162363688151041,35.0,11.0,35.0,6.0,18.0,59.0,0.23
Xingtai,-0.9062305797230114,102540.21590909093,286.5799301609849,99968.62878787878,265.77443440755206,-1.6457695238517993,35.0,8.0,35.0,3.0,12.0,58.0,0.2
Handan,-1.2497295511179958,102508.25431034484,287.68679283405174,99238.02586206896,264.4705326474946,-1.2317304940059268,48.0,11.0,48.0,7.0,18.0,61.0,0.3
Taiyuan,1.831738015879756,102695.44021739133,280.6017747961956,88448.96739130435,259.7722831394361,-1.8881371539572007,22.0,6.0,21.0,4.0,13.0,69.0,0.35
Yangquan,1.7807747977120536,102616.69642857143,281.61049107142856,91181.25,261.8035452706473,-1.7264796665736608,27.0,7.0,27.0,4.0,16.0,63.0,0.4
Changzhi,1.1035426548549108,102517.475,283.3849609375,90001.40714285715,265.6270385742188,-1.5438485281808036,29.0,14.0,29.0,13.0,17.0,74.0,0.84
Jincheng,1.4981357740319294,102475.29891304349,286.3775050951087,91960.6195652174,265.20281982421875,-1.4448202381963315,53.0,4.0,55.0,6.0,21.0,76.0,0.45
Jinan,0.5391678348664315,102524.27822580644,285.8056640625,100752.45967741936,261.9686968403478,-2.8019517467867945,69.0,13.0,87.0,8.0,30.0,53.0,0.42
Zibo,0.8175586518787202,102486.27976190476,285.2252139136905,100290.84523809524,262.6247878301712,-3.667537144252232,70.0,9.0,89.0,7.0,24.0,52.0,0.45
Jining,0.743377685546875,102469.96875,288.50360107421875,101536.90625,266.8260498046875,-3.479583740234375,74.0,14.0,97.0,11.0,32.0,58.0,0.43
Dezhou,0.3314701960637019,102567.0096153846,285.84630408653845,102242.59615384616,261.601557804988,-2.2923654409555287,51.0,1.0,51.0,6.0,12.0,69.0,0.43
Liaocheng,-0.2203516077112268,102556.66203703704,287.5022063078704,102065.82407407407,262.95260281032984,-2.142100016276041,53.0,6.0,55.0,6.0,16.0,68.0,0.3
Binzhou,1.0916420265480324,102549.99537037036,285.43543836805554,102303.1574074074,260.95093903718174,-4.053739194516782,63.0,4.0,76.0,5.0,17.0,56.0,0.25
Heze,-0.6277327104048296,102483.79924242424,289.8348425662879,101878.38636363635,265.40351821437025,-2.9338850541548296,72.0,9.0,93.0,9.0,19.0,72.0,0.37
Zhengzhou,0.183013916015625,102384.52083333331,292.19580078125,100117.54166666669,268.1537475585937,-0.9087422688802084,51.0,12.0,51.0,8.0,26.0,72.0,0.4
Kaifeng,-1.8452482677641369,102427.04166666669,291.5410621279762,101616.79761904762,264.5956769670759,-1.7385936918712797,65.0,22.0,79.0,12.0,24.0,78.0,0.68
Anyang,-1.999444049337636,102471.14673913045,289.49248471467394,100096.31521739133,263.0536180579144,-1.3006711213485054,54.0,11.0,57.0,11.0,19.0,61.0,0.45
Hebi,-2.696841769748264,102445.29166666669,290.6882595486111,100511.41666666669,260.96649169921875,-0.9225904676649306,47.0,14.0,47.0,12.0,24.0,65.0,0.47
Xinxiang,-1.814300537109375,102416.13636363635,290.88742897727275,100042.20454545454,264.1499966708097,-0.6889010342684659,56.0,18.0,61.0,11.0,26.0,65.0,0.47
Jiaozuo,1.266461181640625,102377.375,291.4853515625,98817.21666666666,267.5112833658854,-0.1143656412760416,37.0,15.0,37.0,8.0,21.0,81.0,0.43
Puyang,-1.1874559190538194,102524.51388888888,289.03754340277777,101919.69444444444,263.21920437282984,-2.069183349609375,56.0,15.0,61.0,10.0,21.0,65.0,0.47
