,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,4.430648154400765,100847.15159574468,293.92508518949467,95938.96276595745,267.0082748088431,0.4280057866522606,25.0,11.0,20.0,3.0,7.0,79.0,0.22
Tianjin,5.199337583599669,100958.77651515152,295.20263671875,100661.23484848483,272.42234108664775,1.4990215879498106,40.0,15.0,40.0,5.0,28.0,59.0,0.45
Shijiazhuang,5.62276373969184,101324.84027777778,294.58648003472223,97419.27777777778,271.27525499131946,-1.3358357747395833,40.0,9.0,40.0,6.0,11.0,79.0,0.18
Tangshan,5.77291022406684,100840.26388888888,293.7521158854167,99623.69444444444,271.22718641493054,0.7804836697048612,36.0,10.0,36.0,6.0,21.0,61.0,0.25
Langfang,4.987173461914063,100997.6625,296.47998046875,100793.45,269.920849609375,1.06287841796875,24.0,10.0,22.0,3.0,17.0,77.0,0.23
Baoding,4.657842782827524,101134.66346153848,294.1267653245192,96621.94230769233,269.93826998197113,-0.5544292743389423,35.0,5.0,35.0,5.0,9.0,86.0,0.22
Cangzhou,4.263638305664062,101175.03125,293.55869140625,101058.175,278.133349609375,3.26844482421875,45.0,12.0,45.0,9.0,22.0,57.0,0.4
Hengshui,3.792007446289064,101320.0625,294.3199055989583,101041.66666666669,279.0284830729167,2.80694580078125,35.0,10.0,35.0,9.0,14.0,69.0,0.5
Xingtai,3.715436068448153,101459.42803030302,294.3076319839015,98942.6893939394,273.8108354048296,-0.7971727775804924,42.0,11.0,42.0,9.0,7.0,81.0,0.25
Handan,2.812902516332166,101575.03879310343,293.2931539601293,98360.12931034484,274.1857741783405,-0.9970303239493534,38.0,14.0,38.0,13.0,21.0,65.0,0.8
Taiyuan,6.104146542756454,101726.51630434782,288.7451808763587,87844.75,266.05435844089675,-2.2375780188519023,44.0,8.0,44.0,5.0,12.0,82.0,0.31
Yangquan,6.840626307896206,101493.33928571428,290.1983119419643,90368.60714285714,267.18460518973217,-2.115574428013393,41.0,9.0,41.0,5.0,16.0,77.0,0.32
Changzhi,5.509515816824777,101801.71785714284,289.1786969866071,89471.12142857142,264.5050571986607,-5.132455008370536,56.0,10.0,62.0,10.0,10.0,88.0,0.36
Jincheng,4.820985876995584,101899.09239130437,290.2555409307065,91495.27173913045,265.8424019191576,-5.522564431895381,60.0,9.0,69.0,6.0,9.0,85.0,0.34
Jinan,-0.4730032643964214,101555.625,287.3605248235887,99799.5241935484,281.1041535408266,0.3132895192792339,21.0,13.0,21.0,5.0,32.0,44.0,0.52
Zibo,1.6000199090866816,101507.47023809524,286.11251395089283,99335.36904761904,281.6906970796131,-1.1998843238467265,24.0,17.0,19.0,8.0,26.0,58.0,0.5
Jining,-0.3154144287109375,101627.8359375,290.943359375,100703.625,281.77178955078125,-5.136810302734375,83.0,8.0,115.0,6.0,11.0,76.0,0.5
Dezhou,0.1838343693659855,101404.81730769233,289.69339693509613,101085.05769230767,281.610107421875,4.422978327824519,39.0,4.0,39.0,6.0,15.0,63.0,0.3
Liaocheng,-1.702802304868345,101561.97685185184,289.9637767650463,101076.86111111112,281.4086100260417,2.464999728732639,21.0,9.0,21.0,4.0,33.0,42.0,0.4
Binzhou,1.801031607168692,101338.83796296296,288.65084273726853,101095.12037037036,281.835765697338,4.129062228732639,21.0,11.0,21.0,6.0,25.0,56.0,0.57
Heze,-1.6710459391276042,101661.96590909093,292.79159268465907,101062.90151515152,280.9458377722538,-3.944071451822917,54.0,15.0,57.0,8.0,14.0,80.0,0.4
Zhengzhou,4.490697224934896,101835.14583333331,295.45751953125,99584.41666666669,272.2826334635417,-3.900614420572917,86.0,15.0,121.0,6.0,17.0,77.0,0.3
Kaifeng,0.5298934209914434,101722.80357142857,294.9763532366072,100920.55952380953,280.3421107700893,-4.020615350632441,62.0,15.0,73.0,7.0,12.0,82.0,0.47
Anyang,2.073278675908628,101652.26630434782,293.0150518002717,99308.31521739133,276.69243588654894,-1.6481164020040762,62.0,14.0,73.0,12.0,28.0,60.0,0.97
Hebi,2.270577324761285,101673.65277777778,293.76708984375,99764.86111111112,275.2460666232639,-2.06256103515625,43.0,17.0,43.0,14.0,26.0,60.0,0.7
Xinxiang,2.1091683127663354,101721.5,293.91233132102275,99372.61363636365,276.2466486150568,-1.9405795010653408,51.0,16.0,51.0,14.0,25.0,64.0,0.7
Jiaozuo,4.7228342692057295,101840.325,295.05576171875,98309.41666666669,268.662646484375,-3.41861572265625,52.0,8.0,54.0,5.0,9.0,88.0,0.2
Puyang,-1.542356703016493,101637.625,291.2795681423611,101039.47222222222,282.1632758246528,0.3433091905381944,42.0,11.0,42.0,6.0,13.0,67.0,0.4
