,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.7071315684217088,102341.86037234042,287.4639918550532,97315.62765957449,270.60502949166806,3.537430458880485,46.0,17.0,46.0,2.0,15.0,76.0,0.34
Tianjin,2.011775623668324,102484.04734848483,287.54388612689394,102180.10606060606,274.9451465028705,4.174487952030066,25.0,8.0,24.0,7.0,16.0,80.0,0.34
Shijiazhuang,-2.753087361653646,102505.20138888888,283.3152126736111,98461.94444444444,276.13932461208765,-2.246183607313368,40.0,19.0,40.0,4.0,17.0,68.0,0.42
Tangshan,1.1110619439019098,102391.60416666669,289.20952690972223,101153.69444444444,271.11366271972656,3.889287312825521,48.0,13.0,48.0,7.0,14.0,79.0,0.5
Langfang,2.250314331054688,102525.05,285.7037109375,102313.95,277.4722564697266,2.8133758544921874,50.0,19.0,50.0,4.0,14.0,76.0,0.33
Baoding,-0.0439652663010817,102614.65865384616,281.1779597355769,97896.67307692308,277.967291025015,-0.6352269099308894,28.0,16.0,28.0,6.0,17.0,67.0,0.44
Cangzhou,-2.3977569580078124,102547.24375,284.283837890625,102426.15,277.4045806884766,-0.5931427001953125,32.0,12.0,32.0,7.0,24.0,68.0,0.4
Hengshui,-4.1781361897786455,102425.28125,286.2177734375,102139.91666666669,275.69374084472656,-2.6978302001953125,51.0,9.0,52.0,11.0,9.0,83.0,0.28
Xingtai,-3.405157378225616,102358.27462121211,286.9893761837121,99780.74242424245,274.4795925255977,-2.136857928651752,51.0,31.0,51.0,4.0,15.0,82.0,0.4
Handan,-3.4938633359711746,102281.11422413791,287.1937297952586,98998.36206896552,275.3239098910628,-2.654798310378502,48.0,28.0,48.0,6.0,11.0,88.0,0.52
Taiyuan,-4.895520417586617,102088.8125,281.8974609375,88050.41304347826,273.64518870478094,1.208658633024796,63.0,22.0,75.0,8.0,23.0,72.0,0.42
Yangquan,-4.408558436802456,102427.90178571428,280.0687779017857,90996.28571428572,273.1548876081194,0.3755689348493303,51.0,23.0,52.0,8.0,23.0,65.0,0.67
Changzhi,-4.800955200195313,102018.49107142857,283.22530691964283,89613.7,276.06138872419086,0.3907893589564732,52.0,12.0,54.0,9.0,11.0,108.0,0.47
Jincheng,-4.974876735521399,101809.16032608696,286.9273522418478,91428.54347826086,279.7686601721722,1.88184986943784,66.0,11.0,82.0,6.0,10.0,132.0,0.46
Jinan,-3.654388919953377,102272.61088709676,287.9183782762097,100519.37096774194,273.56018804734754,-2.1417369227255545,56.0,14.0,62.0,12.0,22.0,79.0,0.5
Zibo,-3.0603208996000744,102326.18154761904,287.2692057291667,100153.54761904762,272.19780985514325,-2.464437575567336,45.0,22.0,45.0,9.0,17.0,81.0,0.27
Jining,-4.452316284179688,101998.75,292.68963623046875,101080.78125,281.44129943847656,-1.5548553466796875,63.0,19.0,76.0,8.0,13.0,97.0,0.46
Dezhou,-4.144382183368389,102359.97596153848,287.36147836538464,102038.19230769233,273.45692443847656,-2.25906254695012,47.0,10.0,47.0,6.0,16.0,72.0,0.27
Liaocheng,-4.125166716399016,102203.66435185184,289.8332248263889,101717.87037037036,275.5553040681062,-2.5657727276837385,68.0,10.0,86.0,14.0,21.0,70.0,0.5
Binzhou,-3.437883730287905,102451.4050925926,286.383716724537,102206.20370370372,272.40346668384694,-2.021176373517072,39.0,8.0,39.0,7.0,9.0,89.0,0.37
Heze,-4.552559130119555,101901.0321969697,292.9769472064394,101304.25757575755,283.51616923014325,-3.266000921075994,60.0,32.0,69.0,11.0,22.0,76.0,0.72
Zhengzhou,-5.0514678955078125,101803.13541666669,291.6893717447917,99551.375,281.6386464436849,-3.817621866861979,70.0,51.0,90.0,7.0,10.0,97.0,0.56
Kaifeng,-3.836362566266741,101745.0625,294.49781436011904,100945.92857142857,284.1052689325241,-4.8468780517578125,70.0,37.0,89.0,8.0,14.0,82.0,0.62
Anyang,-3.235066952912704,102153.54076086955,288.5076002038044,99773.71739130437,278.177118052607,-4.207824043605639,67.0,27.0,83.0,8.0,17.0,90.0,0.33
Hebi,-3.285395304361979,102136.22916666669,288.56000434027777,100199.83333333331,278.051759507921,-5.225892808702257,64.0,27.0,77.0,7.0,16.0,85.0,0.58
Xinxiang,-4.234229347922585,101982.97159090907,289.14035866477275,99611.72727272728,279.7505146373402,-5.287130182439631,70.0,27.0,89.0,6.0,17.0,90.0,0.41
Jiaozuo,-6.269965616861979,101873.67916666668,289.2572265625,98328.5,279.5060129801432,-1.8979848225911455,55.0,17.0,60.0,6.0,13.0,106.0,0.37
Puyang,-3.695551554361979,102090.72916666669,290.8943142361111,101492.22222222222,279.67513190375433,-3.874330308702257,53.0,32.0,56.0,13.0,19.0,73.0,0.68
