,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,1.1325897866107049,102293.86968085106,286.9180258892952,97242.69015957449,266.2720470022648,1.150034803025266,42.0,20.0,42.0,2.0,23.0,61.0,0.25
Tianjin,2.383410829486269,102350.4356060606,289.8165024266099,102044.5321969697,272.6814237652403,1.2096687085700757,88.0,65.0,92.0,10.0,20.0,93.0,0.86
Shijiazhuang,-0.7534213595920138,102279.60416666669,288.3940158420139,98308.00694444444,277.0325571695964,1.9949137369791667,121.0,92.0,111.0,9.0,39.0,64.0,1.02
Tangshan,3.434268527560764,102321.31944444444,288.8956976996528,101067.64583333331,266.6561465793186,0.5275200737847222,38.0,19.0,38.0,5.0,21.0,70.0,0.38
Langfang,1.599822998046875,102342.7625,290.140673828125,102132.8125,273.4164764404297,1.5686279296875,56.0,40.0,60.0,7.0,23.0,82.0,0.47
Baoding,0.1720322829026442,102297.8028846154,287.52379432091345,97689.54326923077,274.7678962120644,1.9432185246394231,96.0,72.0,91.0,10.0,32.0,62.0,0.85
Cangzhou,1.750360107421875,102387.33125,290.07041015625,102268.2625,276.1785858154297,2.68115234375,54.0,38.0,56.0,10.0,13.0,119.0,0.45
Hengshui,0.8395284016927084,102364.51041666669,290.4564615885417,102081.27083333331,275.4544321695964,3.5279947916666665,73.0,53.0,81.0,13.0,23.0,94.0,0.53
Xingtai,-0.1303794167258522,102309.21590909093,290.0018125591856,99758.71401515152,275.7077021743312,3.397938121448864,81.0,60.0,86.0,18.0,38.0,75.0,0.88
Handan,0.0148957351158405,102290.57327586209,290.5540224272629,99045.2176724138,274.3058319091797,3.776960701778017,66.0,48.0,74.0,14.0,20.0,94.0,0.47
Taiyuan,1.726011856742527,102130.63586956522,284.6032077955163,88159.17119565218,272.96063829504925,1.9016166355298916,95.0,71.0,119.0,15.0,32.0,91.0,0.99
Yangquan,0.618865966796875,102171.76785714286,285.6917898995536,90933.0625,274.2017582484654,1.0269775390625,68.0,49.0,81.0,14.0,31.0,89.0,0.72
Changzhi,1.551190185546875,102190.04642857144,286.2287876674107,89789.87678571428,274.78228280203683,2.3138497488839285,49.0,34.0,45.0,8.0,14.0,107.0,0.61
Jincheng,0.4182672915251358,102285.27717391304,286.171142578125,91795.47554347826,277.13862742548406,2.6150167713994565,61.0,44.0,63.0,13.0,20.0,110.0,0.58
Jinan,1.4047940161920365,102498.39112903226,289.6723396547379,100739.36895161292,274.13521698982487,2.4333377961189515,58.0,34.0,65.0,9.0,20.0,108.0,0.59
Zibo,1.5124904087611608,102515.45833333331,289.453601655506,100336.46726190476,272.6041019984654,1.2299862816220235,40.0,24.0,40.0,5.0,21.0,101.0,0.35
Jining,0.424652099609375,102534.4765625,290.930419921875,101604.625,272.7519989013672,2.541839599609375,50.0,35.0,47.0,11.0,15.0,113.0,0.54
Dezhou,1.3953082744891827,102438.5096153846,290.42324594350964,102116.83173076923,274.8518805870644,3.2202617938701925,57.0,33.0,64.0,9.0,16.0,108.0,0.5
Liaocheng,0.7395076045283565,102424.74537037036,291.1088595920139,101937.78472222222,273.0505512378834,3.956249095775463,62.0,35.0,73.0,9.0,16.0,108.0,0.44
Binzhou,1.963176586009838,102464.19907407407,290.1547941984954,102219.9699074074,273.9355338767723,1.8114284939236112,44.0,21.0,44.0,9.0,14.0,104.0,0.38
Heze,0.2025100245620265,102486.14015151517,291.5155436197917,101882.19886363635,271.38372016675544,3.039539683948864,55.0,31.0,60.0,11.0,19.0,102.0,0.35
Zhengzhou,-0.3980204264322917,102403.375,290.1969401041667,100119.9375,275.9239959716797,2.796590169270833,54.0,36.0,58.0,13.0,16.0,108.0,0.65
Kaifeng,-0.2205825079055059,102451.88690476192,291.0591634114583,101638.94345238096,273.3467545282273,2.858241489955357,64.0,46.0,70.0,9.0,17.0,105.0,0.4
Anyang,0.5575335958729619,102342.09239130437,290.8424231487772,99973.51902173914,273.0200812298319,4.320561948029892,69.0,50.0,73.0,11.0,21.0,92.0,0.44
Hebi,0.9000617133246528,102355.79166666669,290.8788248697917,100420.34027777778,273.0799204508464,4.650946723090278,66.0,48.0,78.0,15.0,27.0,90.0,0.68
Xinxiang,0.7266429554332386,102402.30681818182,290.172119140625,100021.38068181818,273.6985875909979,3.366111061789773,55.0,39.0,60.0,10.0,23.0,91.0,0.56
Jiaozuo,-0.0977681477864583,102374.275,289.706298828125,98791.82916666666,276.7679412841797,2.3860595703125,68.0,49.0,76.0,7.0,13.0,112.0,0.56
Puyang,0.904022216796875,102422.91666666669,291.4657389322917,101821.5625,271.52208624945746,4.073038736979167,54.0,38.0,58.0,8.0,15.0,112.0,0.3
