,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.2482579008061835,101112.88563829788,290.90067632147606,96203.16622340426,288.3107650432181,-1.6823840851479388,14.0,4.0,14.0,3.0,9.0,39.0,0.34
Tianjin,-1.1176212195194128,100987.17045454546,293.0669463186553,100689.58143939394,288.9908706202651,-3.7669483531605112,29.0,9.0,29.0,13.0,16.0,46.0,0.56
Shijiazhuang,-2.5935770670572915,100856.67361111112,295.58043077256946,97014.27083333331,285.84320746527777,-1.1665818956163194,42.0,18.0,42.0,8.0,20.0,127.0,0.26
Tangshan,-1.0276319715711806,100967.78472222222,291.80547417534723,99749.6875,289.1064453125,-3.1968282063802085,16.0,7.0,16.0,6.0,23.0,30.0,0.78
Langfang,-1.176861572265625,101012.95,293.417626953125,100808.6375,288.42783203125,-3.648309326171875,15.0,7.0,15.0,5.0,12.0,43.0,0.3
Baoding,-2.702319805438702,101022.3846153846,293.22252478966345,96544.20673076923,285.2606670673077,-2.417750431941106,52.0,13.0,53.0,5.0,12.0,56.0,0.23
Cangzhou,-2.595831298828125,100896.8875,295.250390625,100781.5375,286.780224609375,-4.537811279296875,42.0,17.0,42.0,4.0,15.0,63.0,0.27
Hengshui,-2.548858642578125,100821.88541666669,296.7347819010417,100548.72916666669,285.0393880208333,-3.474985758463541,40.0,11.0,31.0,5.0,15.0,127.0,0.37
Xingtai,-1.6665677157315342,100796.14015151517,295.9715391216856,98323.33901515152,286.0353190104167,-0.9498910614938448,44.0,11.0,26.0,7.0,10.0,140.0,0.27
Handan,-1.408843994140625,100783.97844827586,296.2936843345905,97630.3599137931,285.6194605334052,-0.963390481883082,42.0,17.0,34.0,7.0,11.0,133.0,0.2
Taiyuan,-0.5214883555536685,100906.84239130437,291.48708177649456,87358.40489130435,280.97998046875,-1.2140595809273098,42.0,13.0,42.0,8.0,16.0,119.0,0.51
Yangquan,-1.1132245744977678,100886.875,292.16793387276783,89988.6875,283.21923828125,-0.8222002301897321,37.0,14.0,24.0,6.0,15.0,119.0,0.33
Changzhi,-0.9302725655691964,100883.99642857142,292.33043387276786,88855.33035714286,282.40341796875,-0.2856349400111607,47.0,20.0,37.0,9.0,14.0,150.0,0.78
Jincheng,-0.926804252292799,100881.35326086955,293.3826320482337,90728.40489130437,286.1579695991848,0.7832230277683424,52.0,33.0,54.0,8.0,13.0,132.0,0.9
Jinan,-0.7341968167212701,100738.2379032258,296.1038857736895,99049.4133064516,287.7279013356855,-2.1661189909904235,50.0,15.0,44.0,9.0,22.0,159.0,0.55
Zibo,-0.8267197381882441,100755.88690476192,295.3883579799107,98660.90178571428,289.0582914806548,-2.355380103701637,47.0,15.0,47.0,8.0,17.0,127.0,0.37
Jining,-0.260650634765625,100714.625,297.03924560546875,99819.5,291.697265625,0.539306640625,41.0,21.0,41.0,4.0,23.0,113.0,0.7
Dezhou,-1.391979510967548,100769.53846153848,296.6616774338942,100460.22596153848,285.92672025240387,-2.5982454740084133,41.0,3.0,29.0,6.0,11.0,132.0,0.4
Liaocheng,-0.825836181640625,100719.16203703704,297.4467863859954,100250.52083333331,286.6256691261574,-1.87924646448206,47.0,18.0,42.0,6.0,13.0,150.0,0.37
Binzhou,-1.8036645959924769,100804.58796296296,295.5210774739583,100568.92824074074,288.6085973668981,-3.5248627839265048,33.0,5.0,19.0,7.0,8.0,106.0,0.5
Heze,-0.9339090983072916,100714.04166666669,297.2540320194129,100131.1875,292.2945519649621,0.2806960597182765,46.0,20.0,39.0,4.0,15.0,147.0,0.53
Zhengzhou,-1.145538330078125,100739.98958333331,297.2921549479167,98537.3125,291.78173828125,-0.2075297037760416,59.0,23.0,45.0,4.0,27.0,167.0,0.77
Kaifeng,-1.1932096935453869,100705.92261904762,297.4383951822917,99921.42559523808,293.0957728794643,-0.1494649251302083,48.0,20.0,43.0,5.0,10.0,154.0,0.55
Anyang,-1.417717975118886,100740.40760869563,297.8346531080163,98447.1875,286.1961829144022,-0.8926431407099185,61.0,30.0,72.0,10.0,27.0,164.0,1.07
Hebi,-1.572363959418403,100718.375,298.7428656684028,98853.63194444444,285.61083984375,-0.899139404296875,51.0,26.0,51.0,5.0,20.0,154.0,0.57
Xinxiang,-1.372711181640625,100734.38636363635,297.5723322088068,98435.50568181818,289.2682439630682,0.063262939453125,55.0,32.0,60.0,11.0,30.0,116.0,0.78
Jiaozuo,-0.8399637858072917,100769.64166666666,296.859619140625,97309.1875,290.37034505208334,0.130352783203125,66.0,40.0,81.0,10.0,19.0,157.0,1.03
Puyang,-1.0818040635850694,100702.05555555556,298.046142578125,100122.74305555556,288.79779730902777,-0.5388963487413194,45.0,25.0,45.0,6.0,22.0,138.0,0.6
