,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.7656918789478059,101852.2114361702,274.9133196891622,96748.38962765958,264.3777167137633,-1.229497381981383,34.0,10.0,34.0,3.0,34.0,28.0,0.4
Tianjin,0.1887808135061553,101818.6875,279.9603382457386,101509.50568181818,264.47020744554925,-2.7857407078598486,32.0,13.0,32.0,5.0,26.0,50.0,0.29
Shijiazhuang,1.6059604220920138,101869.39583333331,278.1688639322917,97893.88194444444,267.2754177517361,-0.8792046440972222,96.0,44.0,142.0,9.0,77.0,4.0,0.74
Tangshan,2.362063937717014,101767.84722222222,279.4796820746528,100496.85416666669,264.713134765625,-3.2423502604166665,33.0,21.0,33.0,7.0,31.0,34.0,0.58
Langfang,-1.128582763671875,101828.11875,278.619384765625,101616.8375,264.040283203125,-1.8529296875,31.0,12.0,31.0,3.0,38.0,43.0,0.2
Baoding,0.4253422663762019,101858.17307692308,276.3162372295673,97229.28365384616,265.8914325420673,-1.1230093149038465,75.0,34.0,100.0,12.0,65.0,13.0,0.43
Cangzhou,-1.493572998046875,101829.19375,279.48251953125,101709.7375,266.66083984375,-1.9940185546875,49.0,18.0,49.0,14.0,59.0,21.0,0.53
Hengshui,-1.5133158365885415,101842.94270833331,279.1651204427083,101560.3125,268.530029296875,-1.0689290364583333,75.0,28.0,99.0,8.0,50.0,17.0,0.33
Xingtai,0.7550982850970644,101872.19507575755,279.40576911695075,99322.92992424245,268.3256170099432,-1.398992365056818,89.0,32.0,127.0,6.0,46.0,28.0,0.57
Handan,0.7617240116514009,101899.2176724138,279.7900979929957,98649.99784482758,269.1483785695043,-1.374621161099138,100.0,27.0,149.0,14.0,43.0,34.0,0.35
Taiyuan,1.960447891898777,102086.47010869563,274.5971573539402,87993.51358695653,265.19101350203806,0.3992760699728261,149.0,63.0,247.0,8.0,66.0,8.0,0.6
Yangquan,2.658268519810268,101985.35714285714,276.2971888950893,90661.97321428572,263.82906668526783,0.5136369977678571,91.0,36.0,131.0,11.0,65.0,16.0,0.57
Changzhi,1.731524658203125,102034.3125,276.47760184151787,89590.34464285715,267.3596470424107,-1.2273228236607143,108.0,36.0,166.0,12.0,43.0,33.0,0.74
Jincheng,1.5821360712466033,102005.84510869563,279.4515221637228,91547.07880434782,269.2862071161685,-2.2692021908967392,112.0,39.0,173.0,11.0,55.0,27.0,0.84
Jinan,-1.7825819446194555,101855.95766129032,279.99484154485884,100104.20362903226,268.3454117313508,-1.1962024319556452,149.0,47.0,248.0,10.0,66.0,12.0,0.63
Zibo,-0.1926196870349702,101870.28273809524,279.942371186756,99694.21130952382,266.9034714471726,-1.6684221540178572,135.0,51.0,219.0,28.0,66.0,8.0,0.9
Jining,-1.2105712890625,101822.6953125,281.70556640625,100902.8125,271.3922119140625,-2.380157470703125,366.0,117.0,473.0,11.0,73.0,5.0,1.0
Dezhou,-2.096667949969952,101849.4903846154,279.7360088641827,101528.34134615384,268.030517578125,-0.8568396935096154,105.0,44.0,159.0,10.0,44.0,35.0,0.4
Liaocheng,-1.69832921911169,101852.08101851853,280.4009422019676,101367.72453703704,269.2172941984954,-1.812328197337963,140.0,54.0,230.0,7.0,55.0,19.0,0.6
Binzhou,-0.5502895779079862,101840.9699074074,280.83468062789353,101596.16898148147,268.15067093460647,-2.688304759837963,78.0,22.0,105.0,18.0,50.0,26.0,0.77
Heze,-1.439859101266572,101843.70643939394,283.0540882457386,101245.26325757576,270.9198404947917,-1.924353397253788,500.0,165.0,631.0,10.0,60.0,5.0,0.73
Zhengzhou,2.2310689290364585,101913.25520833331,285.0653483072917,99656.6875,274.6429036458333,-0.9984537760416666,140.0,60.0,229.0,7.0,48.0,32.0,0.5
Kaifeng,1.6047203427269343,101852.99702380953,284.8174641927083,101047.78273809524,274.1021321614583,-1.939208984375,129.0,50.0,207.0,11.0,39.0,32.0,0.5
Anyang,0.0738989788552989,101895.45380434782,280.9908394191576,99536.03532608696,271.5410474694294,-1.5550802479619563,108.0,42.0,166.0,17.0,44.0,46.0,0.5
Hebi,0.4228006998697917,101891.46527777778,281.5507541232639,99972.24305555556,272.2518717447917,-1.4988878038194444,105.0,50.0,159.0,9.0,54.0,22.0,0.47
Xinxiang,0.9108748002485796,101884.75,282.3261052911932,99522.1875,272.95967240767044,-1.6658602627840908,93.0,34.0,136.0,11.0,45.0,23.0,0.73
Jiaozuo,1.4206522623697917,101937.7375,282.39650065104166,98387.02083333331,273.8064290364583,-1.041162109375,110.0,32.0,169.0,13.0,34.0,52.0,0.43
Puyang,-1.4549662272135415,101864.60416666669,281.61292860243054,101267.63194444444,269.8834906684028,-2.333034939236111,183.0,77.0,315.0,13.0,53.0,27.0,0.6
