,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-1.843888627721908,101608.3045212766,300.7504934757314,96730.7619680851,287.09716796875,1.3006215196974733,39.0,10.0,20.0,2.0,8.0,125.0,0.4
Tianjin,-4.590511900005919,101564.94507575755,300.348847360322,101269.06628787878,290.5714814157197,0.5011744643702651,40.0,11.0,30.0,10.0,13.0,127.0,0.58
Shijiazhuang,-1.4673885769314237,101578.21527777778,299.12611219618054,97698.32638888888,289.7135416666667,-1.3170640733506944,53.0,34.0,56.0,5.0,10.0,146.0,0.58
Tangshan,-4.251269870334202,101648.8125,298.4170193142361,100436.27083333331,290.4845920138889,0.29022216796875,68.0,19.0,86.0,9.0,19.0,105.0,0.73
Langfang,-3.868728637695313,101519.15,301.985693359375,101316.2875,289.67392578125,0.76697998046875,46.0,24.0,46.0,7.0,13.0,133.0,0.43
Baoding,-2.026612501878005,101593.35096153848,299.78213266225964,97109.5528846154,288.63705679086536,0.1059523362379807,65.0,27.0,56.0,6.0,14.0,172.0,0.53
Cangzhou,-4.478250122070312,101500.45,299.523486328125,101384.9375,292.32939453125,-1.13992919921875,54.0,22.0,57.0,6.0,10.0,108.0,0.25
Hengshui,-3.314122517903646,101452.625,300.4860026041667,101177.6875,291.3995768229167,-2.14422607421875,61.0,34.0,71.0,9.0,11.0,163.0,0.8
Xingtai,-1.964180223869555,101496.00568181818,299.1978648792614,98998.27840909093,290.3330226089015,-2.8854851000236743,56.0,32.0,62.0,4.0,11.0,144.0,0.53
Handan,-2.0078887939453125,101483.90301724138,298.5764833647629,98297.3599137931,290.28978650323273,-3.4571007037984915,56.0,27.0,61.0,6.0,11.0,135.0,0.72
Taiyuan,-3.1849438211192256,101687.95923913045,294.72943911345106,87987.27445652174,283.4392195991848,-0.2178238578464673,42.0,19.0,37.0,6.0,13.0,134.0,0.49
Yangquan,-2.4766387939453125,101740.08035714286,294.11338588169644,90701.11607142857,287.2928989955357,-0.8475428989955357,40.0,27.0,40.0,10.0,15.0,129.0,0.7
Changzhi,-3.073374285016741,101602.62321428572,294.65392717633927,89447.6732142857,284.9307059151786,-1.3076991489955356,43.0,22.0,33.0,9.0,9.0,138.0,0.6
Jincheng,-2.745660533075747,101503.28532608696,296.25661302649456,91271.97010869563,285.38623046875,-1.172859523607337,46.0,25.0,40.0,5.0,10.0,147.0,0.56
Jinan,-2.640102755638861,101385.31653225806,297.9059901083669,99675.83266129032,292.02780052923384,-2.373698572958669,44.0,16.0,44.0,7.0,15.0,102.0,0.46
Zibo,-2.182739984421503,101411.30654761904,296.0992954799107,99288.13988095238,292.7126813616072,-2.440037318638393,22.0,15.0,22.0,7.0,21.0,68.0,0.47
Jining,-2.0629119873046875,101241.0,299.6209716796875,100339.625,291.6078491210937,-3.044952392578125,59.0,36.0,67.0,8.0,13.0,149.0,0.66
Dezhou,-3.02700688288762,101415.9278846154,299.1142014723558,101103.64903846152,292.62856820913464,-2.000530536358173,39.0,15.0,39.0,8.0,12.0,118.0,0.45
Liaocheng,-1.932729650426794,101361.98379629628,299.9684154369213,100888.1875,291.97752097800924,-3.1555424442997686,47.0,17.0,47.0,9.0,9.0,111.0,0.48
Binzhou,-3.926219233760128,101462.94675925926,297.6220612702546,101225.07638888888,293.37993706597223,-1.4037339952256944,22.0,13.0,22.0,8.0,13.0,67.0,0.47
Heze,-1.9462765780362217,101237.8768939394,301.07469963304925,100651.94507575755,290.4142252604167,-3.5682502515388257,56.0,26.0,61.0,6.0,11.0,128.0,0.38
Zhengzhou,-2.219233194986979,101309.17708333331,300.6278483072917,99094.72916666669,287.7830403645833,-3.2522176106770835,54.0,22.0,57.0,5.0,10.0,145.0,0.65
Kaifeng,-2.055693853469122,101224.60416666669,301.6476585751488,100437.47321428572,288.4488234747024,-3.9133446103050593,60.0,26.0,70.0,6.0,7.0,137.0,0.55
Anyang,-1.943775342858356,101408.89402173914,299.2269764775815,99088.57880434782,290.5124193274456,-4.621271548063858,62.0,27.0,73.0,7.0,10.0,141.0,0.54
Hebi,-2.190831502278646,101391.24305555556,299.6100531684028,99504.40972222222,290.4743381076389,-5.26104736328125,55.0,31.0,59.0,6.0,12.0,137.0,0.62
Xinxiang,-2.593515569513494,101342.46022727272,299.8736461292614,99022.27840909093,289.7356622869318,-4.512423428622159,47.0,23.0,47.0,9.0,11.0,148.0,0.63
Jiaozuo,-2.910688273111979,101355.72083333334,300.190478515625,97879.12083333332,287.58857421875,-1.25284423828125,52.0,23.0,53.0,4.0,7.0,138.0,0.34
Puyang,-1.656434800889757,101322.78472222222,300.468017578125,100737.85416666669,291.29052734375,-3.933030870225695,57.0,23.0,64.0,7.0,12.0,121.0,0.57
