,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-0.1413509287732712,100154.9800531915,301.10862180019944,95355.43617021276,293.70823117519944,0.7955383950091423,69.0,11.0,25.0,2.0,12.0,175.0,0.39
Tianjin,-0.7036891128077651,100050.55871212122,302.774628610322,99759.80303030302,295.50148703835225,1.0395235003847063,115.0,51.0,52.0,6.0,10.0,229.0,0.93
Shijiazhuang,-1.31817626953125,100047.68055555556,303.9580891927083,96255.91666666669,294.5697428385417,0.5152943929036459,111.0,28.0,53.0,9.0,12.0,221.0,0.73
Tangshan,0.2930433485243056,100117.63888888888,300.5458713107639,98925.02777777778,294.23760308159723,1.4765574137369792,94.0,45.0,71.0,9.0,23.0,195.0,1.02
Langfang,-0.80792236328125,100013.3125,304.915478515625,99814.25,294.837841796875,0.7824981689453125,95.0,14.0,39.0,3.0,9.0,196.0,0.7
Baoding,-0.8541025015024039,100085.78846153848,303.94127478966345,95691.1153846154,293.7593712439904,0.6914637638972356,105.0,22.0,56.0,10.0,12.0,210.0,0.5
Cangzhou,-1.48570556640625,100017.6625,305.365576171875,99904.625,294.726318359375,0.8959991455078125,71.0,27.0,38.0,13.0,11.0,177.0,0.53
Hengshui,-0.7795613606770834,99984.08333333331,306.5003255208333,99715.20833333331,294.9788411458333,1.7586212158203125,110.0,35.0,52.0,9.0,10.0,220.0,0.77
Xingtai,-0.2384014707623106,100003.61931818182,303.904541015625,97565.62121212122,294.706269235322,0.9553319757634944,128.0,49.0,86.0,17.0,11.0,255.0,1.0
Handan,0.0837886415678879,100011.8426724138,304.7593362742457,96899.25862068964,292.31705448545256,0.5257699900660021,137.0,52.0,98.0,13.0,16.0,274.0,0.88
Taiyuan,-1.503754988960598,100166.14402173914,300.92143979279894,86816.28260869565,287.76034943953806,0.9368969461192256,110.0,22.0,42.0,10.0,14.0,220.0,0.56
Yangquan,-2.082162039620536,100253.29464285714,298.3532017299107,89469.35714285714,292.57474190848217,0.5056566510881696,107.0,26.0,42.0,17.0,13.0,213.0,0.77
Changzhi,-0.8967686244419643,100240.97321428572,299.90543387276784,88349.64285714286,288.29896065848214,0.8742671421595982,73.0,33.0,55.0,8.0,12.0,178.0,1.24
Jincheng,-0.0524981954823369,100108.42663043478,302.2828528362772,90120.23913043478,288.43630052649456,2.4262396770974863,116.0,32.0,73.0,11.0,11.0,232.0,0.7
Jinan,0.2903875535534274,100073.0745967742,302.9309397051412,98401.30645161292,294.72642861643146,1.1804253362840222,127.0,51.0,91.0,19.0,27.0,254.0,1.19
Zibo,0.74505615234375,100109.17559523808,301.35794503348217,98034.16666666669,294.5763230096726,0.1665104457310267,81.0,22.0,52.0,14.0,22.0,185.0,0.82
Jining,-0.009063720703125,100017.3671875,306.5947265625,99136.65625,292.47430419921875,1.9441680908203125,81.0,18.0,30.0,8.0,5.0,185.0,0.5
Dezhou,-0.2738365760216346,100026.12980769233,304.22042142427887,99720.84615384616,295.5811485877404,1.557317880483774,110.0,28.0,54.0,9.0,11.0,219.0,0.67
Liaocheng,0.2221973560474537,99948.74305555556,306.32742874710647,99487.64814814816,293.1299461082176,1.7545612476490162,105.0,16.0,31.0,8.0,9.0,209.0,0.53
Binzhou,-0.3650060583043981,100064.31712962964,303.62625687210647,99831.9074074074,295.2359212239583,0.5413089328342013,58.0,17.0,65.0,11.0,18.0,152.0,0.9
Heze,-0.0196218779592803,99943.77840909093,308.432890920928,99372.71212121211,291.43525834517044,2.4306219852331914,80.0,17.0,48.0,5.0,14.0,184.0,0.63
Zhengzhou,-0.7107950846354166,99872.875,307.8863118489583,97717.91666666669,290.473876953125,2.671259562174479,103.0,26.0,57.0,4.0,13.0,205.0,0.5
Kaifeng,-0.1576131184895833,99897.31845238096,308.52740187872024,99129.78571428572,291.2889346168155,2.259423392159598,83.0,14.0,39.0,4.0,8.0,186.0,0.55
Anyang,0.4474593452785326,99953.38315217392,308.1647312330163,97692.23913043478,289.859619140625,1.0157862124235737,107.0,30.0,71.0,5.0,15.0,214.0,0.8
Hebi,0.7320353190104166,99910.82638888888,309.2339680989583,98078.38888888888,288.99590386284723,1.466981675889757,81.0,42.0,68.0,5.0,16.0,185.0,0.37
Xinxiang,-0.2426924272017045,99913.00568181818,308.34053178267044,97654.45454545454,289.68490323153407,2.3399200439453125,85.0,36.0,69.0,10.0,18.0,188.0,0.85
Jiaozuo,-0.8921183268229167,99872.5375,308.193603515625,96488.36666666668,288.6883951822917,2.575597127278646,127.0,32.0,62.0,6.0,11.0,254.0,0.6
Puyang,0.4641316731770833,99897.88194444444,309.0824924045139,99329.72222222222,290.7164984809028,1.9917212592230904,75.0,16.0,38.0,4.0,10.0,180.0,0.6
