,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,-0.7886846014793883,100462.47207446808,296.9285602975399,95619.31515957449,284.4029255319149,0.8026707426030585,91.0,49.0,132.0,6.0,75.0,41.0,0.65
Tianjin,-0.0383282285748106,100404.88825757576,300.28889234138256,100111.79356060606,287.3565932765151,2.9156327681107954,86.0,57.0,122.0,28.0,55.0,95.0,1.27
Shijiazhuang,0.3017374674479167,100374.15277777778,297.5483127170139,96543.4375,284.8703342013889,0.2862752278645833,90.0,39.0,130.0,23.0,42.0,93.0,1.03
Tangshan,-0.3332451714409722,100494.6875,298.0990939670139,99294.52083333331,286.53228081597223,2.605882432725694,133.0,101.0,214.0,86.0,83.0,38.0,2.75
Langfang,-0.39940185546875,100365.5625,300.456103515625,100164.2875,287.0337890625,2.43902587890625,91.0,46.0,131.0,9.0,86.0,27.0,1.08
Baoding,-0.4208937424879808,100400.33653846152,297.2727801983173,95965.39903846152,284.8176457331731,0.2989642803485577,75.0,43.0,99.0,50.0,46.0,60.0,0.62
Cangzhou,-0.04698486328125,100378.33125,300.860498046875,100264.2875,288.0140625,3.80604248046875,73.0,42.0,96.0,41.0,41.0,90.0,1.0
Hengshui,-0.1254679361979166,100329.09375,300.554443359375,100057.1875,288.9774576822917,3.910746256510417,71.0,46.0,91.0,25.0,29.0,70.0,0.7
Xingtai,-0.2637662020596591,100349.41098484848,298.8376612807765,97888.49053030302,287.94927793560606,1.9036476828835227,107.0,55.0,163.0,34.0,66.0,36.0,1.23
Handan,-0.3512404869342672,100352.57112068964,298.5267797009698,97213.22198275862,288.62398976293105,1.9527145911907329,87.0,53.0,123.0,16.0,38.0,58.0,0.78
Taiyuan,-0.3079701299252717,100512.77989130437,293.2977135699728,86990.70923913043,281.94955842391306,0.5728361710258152,97.0,66.0,143.0,27.0,77.0,73.0,1.57
Yangquan,-0.1322283063616071,100500.4375,294.43955775669644,89620.61607142857,282.9814453125,0.5133143833705357,83.0,53.0,116.0,27.0,83.0,51.0,1.37
Changzhi,-0.48377685546875,100508.14821428571,293.7341727120536,88501.21607142857,284.7314732142857,0.2965733119419643,90.0,54.0,129.0,13.0,64.0,64.0,1.38
Jincheng,-0.9303801163383152,100440.79076086955,294.98886506453806,90327.36141304349,285.5354110054348,0.3271245541779891,128.0,68.0,205.0,24.0,86.0,50.0,5.5
Jinan,-1.0961067445816532,100526.98991935483,299.8037345640121,98838.47782258064,288.8520035282258,3.4046729303175405,78.0,44.0,105.0,19.0,38.0,103.0,0.76
Zibo,-0.7866879417782738,100602.97916666669,300.0738118489583,98508.47321428572,286.8736049107143,3.4269583565848216,74.0,50.0,98.0,21.0,52.0,111.0,0.78
Jining,-1.793548583984375,100509.4453125,300.1234130859375,99616.59375,291.239501953125,3.47406005859375,76.0,55.0,102.0,48.0,35.0,73.0,1.45
Dezhou,-0.5624577448918269,100422.21634615384,300.8696101262019,100113.72596153848,289.0614483173077,3.7098717322716346,80.0,42.0,110.0,22.0,32.0,83.0,0.8
Liaocheng,-1.2723185221354167,100391.11805555556,300.2008373119213,99922.70601851853,290.4578269675926,3.70781566478588,83.0,47.0,115.0,45.0,31.0,83.0,0.95
Binzhou,-0.6256171332465278,100486.55324074074,301.61265733506946,100252.40972222222,286.6134982638889,3.460781521267361,90.0,67.0,117.0,41.0,70.0,100.0,1.43
Heze,-1.144033720999053,100406.49431818182,300.68016838304925,99825.82386363635,292.3689630681818,3.539419463186553,81.0,49.0,111.0,12.0,24.0,96.0,0.67
Zhengzhou,-0.34271240234375,100277.52083333331,299.377197265625,98083.77083333331,290.4070638020833,2.1237996419270835,81.0,60.0,107.0,7.0,31.0,82.0,0.81
Kaifeng,-0.3742995489211309,100322.61011904762,300.75582449776783,99541.28273809524,292.36690848214283,3.6962105887276784,80.0,59.0,85.0,6.0,11.0,89.0,1.0
Anyang,-0.3957333772078804,100327.32336956522,299.2817488960598,98041.53532608696,289.9919327445652,2.57814357591712,103.0,77.0,120.0,14.0,46.0,60.0,1.53
Hebi,-0.2897881401909722,100307.14583333331,299.38609483506946,98443.29861111112,290.02256944444446,2.440599229600694,90.0,51.0,129.0,14.0,39.0,61.0,0.67
Xinxiang,-0.5540715997869318,100312.47159090907,299.32419655539775,98023.1875,290.28267045454544,2.373374245383523,73.0,44.0,96.0,19.0,44.0,42.0,0.95
Jiaozuo,-1.06658935546875,100291.47916666669,298.28761393229166,96850.52083333331,288.4575520833333,0.31510009765625,88.0,51.0,125.0,18.0,42.0,87.0,0.93
Puyang,-1.10076904296875,100355.10416666669,300.36504448784723,99776.52083333331,291.4007161458333,3.696784125434028,90.0,67.0,106.0,10.0,21.0,72.0,0.9
