,10 metre U wind component,Mean sea level pressure,2 metre temperature,Surface pressure,2 metre dewpoint temperature,10 metre V wind component,AQI,PM2.5,PM10,SO2,NO2,O3,CO
Beijing,0.067372423537234,100114.4840425532,301.90686814328456,95330.6449468085,294.7184539145612,1.731594978494847,93.0,15.0,40.0,2.0,10.0,194.0,0.55
Tianjin,-0.1450787168560606,100038.59848484848,304.2332578716856,99748.05113636365,296.2978885535038,2.428904677882339,104.0,32.0,53.0,6.0,13.0,208.0,0.92
Shijiazhuang,-1.2435709635416667,100023.42361111112,307.1828070746528,96250.99305555556,293.8597819010417,0.3441755506727431,133.0,31.0,67.0,7.0,18.0,265.0,0.7
Tangshan,1.0933430989583333,100105.70138888888,301.18584526909723,98917.1875,296.0633951822917,2.613218519422743,94.0,21.0,45.0,8.0,14.0,195.0,0.63
Langfang,-0.3431640625,100000.325,305.837841796875,99801.7375,295.876220703125,2.160592651367188,110.0,24.0,65.0,9.0,10.0,220.0,0.87
Baoding,-1.1641751802884617,100083.3221153846,304.86656775841345,95706.3221153846,294.09756234975964,1.3960794302133412,122.0,25.0,56.0,6.0,13.0,243.0,0.31
Cangzhou,-0.330810546875,100011.8,306.80322265625,99899.3625,295.306884765625,2.6405487060546875,102.0,32.0,63.0,5.0,11.0,203.0,0.55
Hengshui,-1.5134684244791667,99948.86458333331,308.464599609375,99682.02083333331,295.2438151041667,1.7987111409505208,138.0,29.0,69.0,13.0,12.0,276.0,0.85
Xingtai,-0.3363665956439394,99940.80303030302,307.9438994436553,97520.20265151517,295.04001686789775,1.664729725230824,148.0,32.0,68.0,11.0,25.0,296.0,1.15
Handan,0.5228145204741379,99937.78448275862,308.0438190328664,96856.75646551725,294.3190749595905,2.1581142030913254,109.0,16.0,43.0,8.0,8.0,218.0,0.33
Taiyuan,0.9128099524456522,100160.26086956522,304.68613068953806,86900.86141304347,286.44411302649456,0.1655518904976222,115.0,28.0,53.0,7.0,24.0,230.0,0.82
Yangquan,-1.8338448660714288,100216.94642857143,303.3541782924107,89514.1875,290.63235909598217,-0.8044324602399554,65.0,22.0,52.0,8.0,20.0,172.0,0.58
Changzhi,1.21669921875,100250.72142857144,303.379150390625,88449.23035714286,289.1255789620536,0.9805982317243304,64.0,9.0,23.0,8.0,4.0,171.0,0.35
Jincheng,0.576278023097826,100218.29347826086,304.24880052649456,90269.42663043478,291.40309740149456,2.001446931258492,56.0,5.0,25.0,6.0,8.0,165.0,0.5
Jinan,0.2542685231854839,100126.71774193548,305.3229507938508,98461.42943548386,295.8943343623992,2.9953834779800905,98.0,26.0,43.0,10.0,10.0,198.0,0.5
Zibo,0.9679827008928572,100190.85714285714,303.8253929501488,98124.83035714286,295.61380440848217,2.8040357317243303,49.0,29.0,49.0,6.0,23.0,115.0,0.61
Jining,-0.847503662109375,100103.3359375,307.08465576171875,99223.84375,297.02447509765625,3.2186431884765625,51.0,28.0,52.0,7.0,7.0,152.0,0.77
Dezhou,-0.2779071514423077,100018.08653846152,306.95772611177887,99714.5721153846,295.7465632512019,2.650586641751803,120.0,30.0,57.0,9.0,7.0,240.0,0.65
Liaocheng,0.1039677372685185,99938.87037037036,308.77013708043984,99480.42824074074,295.5105884693287,2.941126505533854,96.0,15.0,41.0,11.0,11.0,197.0,0.58
Binzhou,0.7357313368055556,100083.39814814816,305.06773546006946,99851.98379629628,295.91285988136576,3.2504074661820024,48.0,14.0,33.0,7.0,9.0,154.0,0.65
Heze,0.0897401751893939,99989.8106060606,309.4546712239583,99420.59659090907,295.83233457623106,3.4701274525035517,81.0,13.0,40.0,6.0,7.0,185.0,0.45
Zhengzhou,-0.183837890625,99948.8125,310.9134114583333,97801.89583333331,294.4586588541667,2.6143035888671875,122.0,21.0,50.0,4.0,12.0,244.0,0.48
Kaifeng,0.3435872395833333,99957.41666666669,310.6229189918155,99191.78273809524,295.8097679501488,3.778133573986235,83.0,15.0,44.0,2.0,6.0,186.0,0.42
Anyang,1.1308806046195652,99922.03260869563,309.2218813688859,97680.25271739133,294.67551587975544,2.9076544720193613,104.0,17.0,57.0,4.0,10.0,207.0,0.34
Hebi,1.4599066840277777,99905.25,309.914306640625,98082.79861111112,294.7636990017361,2.992884318033854,102.0,19.0,50.0,13.0,9.0,203.0,0.3
Xinxiang,0.7119584517045454,99947.42045454546,309.9011674360796,97700.14204545454,294.55422141335225,2.834163318980824,105.0,13.0,27.0,6.0,11.0,210.0,0.33
Jiaozuo,0.2355794270833333,99969.35,310.235009765625,96595.62083333332,293.5613118489583,1.7133270263671876,78.0,10.0,20.0,4.0,5.0,182.0,0.35
Puyang,0.7371961805555556,99906.625,309.85527886284723,99341.07638888888,295.0370279947917,3.026575724283854,94.0,16.0,40.0,4.0,9.0,195.0,0.33
